a	eɪ
jeongchiguk	dʒ ɪ ɒ ŋ tʃ ɪ ɡ ʌ k
jeongchigwon	dʒ ɪ ɒ ŋ tʃ ɪ ɡ w ə n
jeongchigwoneseon	dʒ ɪ ɒ ŋ tʃ ɪ ɡ w ʌ n ɪ s ɪ ə n
jeongchigwoneseoneun	dʒ ɪ ɒ ŋ tʃ ɪ ɡ w ʌ n ɪ s ɪ əʊ n ʌ n
jeongchigwongwa	dʒ ɪ ɒ ŋ tʃ ɪ ɡ w ʌ ŋ ɡ w ə
jeongchigwoni	dʒ ɪ ɒ ŋ tʃ ɪ ɡ w əʊ n i
jeongchigwonui	dʒ ɪ ɒ ŋ tʃ ɪ ɡ w ʌ n j uː i
jeongchihwaldonggwa	dʒ ɪ ɒ ŋ tʃ ɪ h w ɒ l d ɒ ŋ ɡ w ə
jeongchihyeonane	dʒ ɪ ɒ ŋ tʃ ɪ h j əʊ n eɪ n
jeongchiin	dʒ ɪ ɒ ŋ tʃ ɪ ɪ n
jeongchiindeul	dʒ ɪ ɒ ŋ tʃ ɪ ɪ n d j uː l
jeongchiindeurege	dʒ ɪ ɒ ŋ tʃ ɪ ɪ n d j uː ɹ ɛ dʒ
jeongchiindeurui	dʒ ɪ ɒ ŋ tʃ ɪ ɪ n d j uː ɹ uː i
jeongchiineun	dʒ ɪ ɒ ŋ tʃ ɪ aɪ n ʌ n
jeongchijageumeul	dʒ ɪ ɒ ŋ tʃ ɪ dʒ a dʒ j uː m j uː l
jeongchijeogin	dʒ ɪ ɒ ŋ tʃ aɪ dʒ ɒ dʒ ɪ n
jeongchijeok	dʒ ɪ ɒ ŋ tʃ aɪ dʒ ɒ k
jeongchioegyosa	dʒ ɪ ɒ ŋ k ɪ əʊ dʒ ɪ əʊ s ə
jeongchireul	dʒ ɪ ɒ ŋ k aɪ ɹ uː l
jeongchiseryeokhwaga	dʒ ɪ ɒ ŋ tʃ ɪ s ə j ɪ ə k h w ɑː ɡ ə
jeongchiui	dʒ ɪ ɒ ŋ tʃ ɪ j uː i
jeongdaehyeobi	dʒ ɪ ɒ ŋ d iː h j əʊ b aɪ
jeongdang	dʒ ɪ ɒ ŋ d a ŋ
jeongdangbangwiro	dʒ ɪ ɒ ŋ d ɐ ŋ b ɐ ŋ w iə ɹ əʊ
jeongdangeul	dʒ ɪ ɒ ŋ d ɐ n dʒ j uː l
jeongdanggwa	dʒ ɪ ɒ ŋ d a ŋ ɡ w ə
jeongdanghwahaetdago	dʒ ɪ ɒ ŋ d ɐ ŋ h w a h iː t d eɪ ɡ əʊ
jeongdanghwahajineun	dʒ ɪ ɒ ŋ d ɐ ŋ h w a h ɐ dʒ aɪ n ʌ n
jeongdanghwaldongeul	dʒ ɪ ɒ ŋ d ɐ ŋ h w ɒ l d ə n dʒ j uː l
jeongdangi	dʒ ɪ ɒ ŋ d a ŋ ɡ i
jeongdangina	dʒ ɪ ɒ ŋ d ɐ n dʒ iː n ə
jeongdangiraneun	dʒ ɪ ɒ ŋ d ɐ ŋ ɡ ɜː ɹ ɐ n j uː n
jeongdangiyamalro	dʒ ɪ ɒ ŋ d ɐ ŋ ɡ ɪ j ɐ m a l ɹ əʊ
jeongdangui	dʒ ɪ ɒ ŋ d a ŋ ɡ w i
jeongdo	dʒ ɪ ɒ ŋ d əʊ
jeongdoboda	dʒ ɪ ɒ ŋ d ə b əʊ d ə
jeongdoda	dʒ ɪ ə ŋ d əʊ d ə
jeongdodeoragoyo	dʒ ɪ ɒ ŋ d əʊ d ɔː ɹ ɐ ɡ ɔɪ əʊ
jeongdodo	dʒ ɪ ə ŋ d əʊ d əʊ
jeongdoe	dʒ ɪ ɒ ŋ d əʊ
jeongdoga	dʒ ɪ ə ŋ d əʊ ɡ ə
jeongdoipnida	dʒ ɪ ɒ ŋ d ɔɪ p n ɪ d ə
jeongdomyeon	dʒ ɪ ɒ ŋ d ə m j əʊ n
jeongdonama	dʒ ɪ ɒ ŋ d ə n ɑː m ə
jeongdoneun	dʒ ɪ ɒ ŋ d əʊ n ʌ n
jeongdoreul	dʒ ɪ ɒ ŋ d ɔː ɹ uː l
jeongdoro	dʒ ɪ ə ŋ d ɔː ɹ əʊ
jeongdossik	dʒ ɪ ɒ ŋ d ə s ɪ k
jeongdoui	dʒ ɪ ɒ ŋ d uː i
jeongdoyeotda	dʒ ɪ ɒ ŋ d ɔɪ ɪ ɒ t d ə
jeongdoyeotseupnida	dʒ ɪ ɒ ŋ d ɔɪ ɪ ɒ t s j uː p n ɪ d ə
jeongeugeul	dʒ ɪ ɒ n dʒ j uː dʒ j uː l
jeonggi	dʒ ɪ ɒ ŋ ɡ ɪ
jeonggijeogeuro	dʒ ɪ ɒ ŋ dʒ aɪ dʒ əʊ dʒ j uː ɹ əʊ
jeonggijeok	dʒ ɪ ɒ ŋ dʒ aɪ dʒ ɒ k
jeonggijuchonggwa	dʒ ɪ ɒ ŋ dʒ ɪ dʒ ʌ tʃ ɒ ŋ ɡ w ə
jeonggiseireul	dʒ ɪ ɒ ŋ dʒ aɪ s aɪə ɹ ʌ l
jeonggitae	dʒ ɪ ɒ ŋ dʒ ɪ t iː
jeonggugideon	dʒ ɪ ɒ ŋ ɡ j uː dʒ ɪ d ɪ ə n
jeongguk	dʒ ɪ ɒ ŋ ɡ ʌ k
jeonggwangwa	dʒ ɪ ɒ ŋ ɡ w a ŋ w ə
jeonggwanyong	dʒ ɪ ɒ ŋ ɡ w ɐ n ɪ ɒ ŋ
jeonggwon	dʒ ɪ ɒ ŋ ɡ w ə n
jeonggwongwa	dʒ ɪ ɒ ŋ ɡ w ʌ ŋ ɡ w ə
jeonggwongyocheui	dʒ ɪ ɒ ŋ ɡ w ə n dʒ ɪ ɒ tʃ j uː i
jeonggwoni	dʒ ɪ ə ŋ ɡ w əʊ n i
jeonggwonui	dʒ ɪ ɒ ŋ ɡ w ə n j uː i
jeonggyeeseo	dʒ ɪ ɒ ŋ dʒ ɪ iː s eɪ əʊ
jeonggyeongdae	dʒ ɪ ɒ ŋ dʒ j əʊ ŋ d iː
jeonggyereul	dʒ ɪ ɒ ŋ dʒ ɪ ə ɹ uː l
jeonggyohan	dʒ ɪ ɒ ŋ dʒ ɪ əʊ h a n
jeonggyohwae	dʒ ɪ ɒ ŋ dʒ ɪ əʊ w iː
jeonggyujigeuro	dʒ ɪ ɒ ŋ dʒ j uː dʒ aɪ dʒ j uː ɹ əʊ
jeonggyujigi	dʒ ɪ ɒ ŋ dʒ j uː dʒ ɪ ɡ ɪ
jeonggyujigin	dʒ ɪ ɒ ŋ dʒ j uː dʒ ɪ dʒ ɪ n
jeonghae	dʒ ɪ ɒ ŋ h iː
jeonghaejiji	dʒ ɪ ɒ ŋ h iː dʒ ɪ dʒ i
jeonghaejijido	dʒ ɪ ɒ ŋ h iː dʒ ɪ dʒ iː d əʊ
jeonghaejin	dʒ ɪ ɒ ŋ h iː dʒ ɪ n
jeonghaejineunde	dʒ ɪ ɒ ŋ h iː dʒ aɪ n ʌ n d
jeonghaetdago	dʒ ɪ ɒ ŋ h iː t d eɪ ɡ əʊ
jeonghaetdamyeo	dʒ ɪ ɒ ŋ h iː t d a m ɪ eɪ əʊ
jeonghaetgo	dʒ ɪ ə ŋ h iː t ɡ əʊ
jeonghaetjiyo	dʒ ɪ ɒ ŋ h iː t dʒ ɪ j əʊ
jeonghaeya	dʒ ɪ ɒ ŋ h iː j ə
jeonghan	dʒ ɪ ɒ ŋ h ə n
jeonghaneun	dʒ ɪ ɒ ŋ h ɐ n j uː n
jeonghoseong	dʒ ɪ ə ŋ h əʊ s ɪ ɒ ŋ
jeonghoseongeurobuteo	dʒ ɪ ə ŋ h əʊ s ɪ ɒ n dʒ j uː ɹ ɒ b j uː t eɪ əʊ
jeonghunseok	dʒ ɪ ɒ ŋ h ə n s ɪ ɒ k
jeonghwakhage	dʒ ɪ ɒ ŋ h w a k h ɪ dʒ
jeonghwakhamyeo	dʒ ɪ ɒ ŋ h w ɐ k h a m ɪ eɪ əʊ
jeonghwakhan	dʒ ɪ ɒ ŋ h w a k h ə n
jeonghwakhanjineun	dʒ ɪ ɒ ŋ h w ɐ k h a n dʒ aɪ n ʌ n
jeonghwakhayeotseupnida	dʒ ɪ ɒ ŋ h w ɐ k h eɪ ɪ ɒ t s j uː p n ɪ d ə
jeonghwakhi	dʒ ɪ ə ŋ h w a k ɪ
jeonghwakseonggwa	dʒ ɪ ɒ ŋ h w ɐ k s ɪ ɒ ŋ ɡ w ə
jeonghwangeul	dʒ ɪ ɒ ŋ h w ɐ n dʒ j uː l
jeonghwangeun	dʒ ɪ ɒ ŋ h w ɐ n dʒ j uː n
jeonghyeongoegwaeseo	dʒ ɪ ɒ ŋ h j əʊ ŋ ɡ əʊ ɡ w iː s eɪ əʊ
jeongi	dʒ ɪ ɒ ŋ ɡ i
jeongie	dʒ ɪ ɒ n dʒ i
jeongineun	dʒ ɪ ɒ ŋ ɡ ɪ n j uː n
jeongireul	dʒ ɪ ɒ ŋ ɡ aɪə ɹ ʌ l
jeongiryoimeul	dʒ ɪ ɒ ŋ ɡ ə ɹ ɪ ɔɪ m j uː l
jeongiyogeume	dʒ ɪ ɒ ŋ ɡ ɪ j əʊ dʒ j uː m
jeongiyogeumeul	dʒ ɪ ɒ ŋ ɡ ɪ j əʊ dʒ j uː m j uː l
jeongjaengui	dʒ ɪ ɒ ŋ j iː ŋ ɡ w i
jeongjak	dʒ ɪ ɒ ŋ dʒ a k
jeongjange	dʒ ɪ ɒ ŋ dʒ a n dʒ
jeongjeogiji	dʒ ɪ ɒ ŋ dʒ ɪ ɒ dʒ ɪ dʒ i
jeongjeogijiman	dʒ ɪ ɒ ŋ dʒ ɪ ɒ dʒ ɪ dʒ ɪ m ə n
jeongjeogina	dʒ ɪ ɒ ŋ dʒ ɪ ə dʒ iː n ə
jeongji	dʒ ɪ ɒ ŋ dʒ i
jeongjihago	dʒ ɪ ɒ ŋ dʒ ɪ h eɪ ɡ əʊ
jeongjinseok	dʒ ɪ ɒ ŋ dʒ ɪ n s ɪ ɒ k
jeongjinyongssiga	dʒ ɪ ɒ ŋ dʒ ɪ n ɪ ɒ ŋ s ɪ ɡ ə
jeongjongeun	dʒ ɪ ɒ ŋ dʒ ə n dʒ j uː n
jeongmal	dʒ ɪ ɒ ŋ m əl
jeongmaljeongmal	dʒ ɪ ɒ ŋ m ɐ l dʒ ɪ ɒ ŋ m əl
jeongmalro	dʒ ɪ ə ŋ m a l ɹ əʊ
jeongmilhage	dʒ ɪ ɒ ŋ m ɪ l h ɪ dʒ
jeongmiltagyeogi	dʒ ɪ ɒ ŋ m ɪ l t a dʒ j əʊ ɡ ɪ
jeongmuje	dʒ ɪ ɒ ŋ m j uː dʒ
jeongmuneul	dʒ ɪ ɒ ŋ m ə n j uː l
jeongmunhyeon	dʒ ɪ ɒ ŋ m ə n h j əʊ n
jeongmunsu	dʒ ɪ ə ŋ m ʌ n s uː
jeongmyeoneuro	dʒ ɪ ɒ ŋ m j əʊ n j uː ɹ əʊ
jeongnamihyeong	dʒ ɪ ɒ ŋ n ɐ m ɪ h j əʊ ŋ
jeongo	dʒ ɪ ɒ ŋ ɡ əʊ
jeongokhyeon	dʒ ɪ ɒ ŋ ɡ ə k h j əʊ n
jeongong	dʒ ɪ ɒ ŋ ɡ ɒ ŋ
jeongpa	dʒ ɪ ɒ ŋ p ə
jeongreung	dʒ ɪ ɒ ŋ ɡ ɹ uː ŋ
jeongrihaebogo	dʒ ɪ ɒ ŋ ɡ ɹ ɪ h iː b əʊ ɡ əʊ
jeongrihasilkka	dʒ ɪ ɒ ŋ ɡ ɹ ɪ h a s ɪ l k ə
jeongrireul	dʒ ɪ ɒ ŋ ɡ ɹ aɪə ɹ ʌ l
jeongsang	dʒ ɪ ɒ ŋ s a ŋ
jeongsangbuui	dʒ ɪ ɒ ŋ s ɐ ŋ b uː i
jeongsangeul	dʒ ɪ ɒ ŋ s ɐ n dʒ j uː l
jeongsangeun	dʒ ɪ ɒ ŋ s ɐ n dʒ j uː n
jeongsanghoedameul	dʒ ɪ ɒ ŋ s ɐ ŋ h əʊ d ɐ m j uː l
jeongsanghwa	dʒ ɪ ɒ ŋ s a ŋ h w ə
jeongsanghwaga	dʒ ɪ ɒ ŋ s ɐ ŋ h w ɑː ɡ ə
jeongsangjeogeuro	dʒ ɪ ɒ ŋ s ɐ ŋ dʒ ɪ əʊ dʒ j uː ɹ əʊ
jeongsangjeogin	dʒ ɪ ɒ ŋ s ɐ ŋ dʒ ɪ ɒ dʒ ɪ n
jeongsangjidaee	dʒ ɪ ɒ ŋ s ɐ ŋ dʒ ɪ d iː
jeongsegyun	dʒ ɪ ɒ ŋ s ə dʒ ɪ ʌ n
jeongseongho	dʒ ɪ ɒ ŋ s ɪ ɒ ŋ h əʊ
jeongseosang	dʒ ɪ ɒ ŋ s ɪ ɒ s a ŋ
jeongsik	dʒ ɪ ɒ ŋ s ɪ k
jeongsin	dʒ ɪ ɒ ŋ s ɪ n
jeongsinbyeongsangsuneun	dʒ ɪ ɒ ŋ s ɪ n b j əʊ ŋ s ɐ ŋ s ʌ n j uː n
jeongsinbyeongwoneun	dʒ ɪ ɒ ŋ s ɪ n b j əʊ ŋ w ə n j uː n
jeongsineul	dʒ ɪ ɒ ŋ s aɪ n ʌ l
jeongsineun	dʒ ɪ ɒ ŋ s aɪ n ʌ n
jeongsingwa	dʒ ɪ ɒ ŋ s ɪ ŋ w ə
jeongsini	dʒ ɪ ə ŋ s iː n ɪ
jeongsinjangaejindaneul	dʒ ɪ ɒ ŋ s ɪ n dʒ a ŋ ɡ iː dʒ ɪ n d ɐ n j uː l
jeongsinjeok	dʒ ɪ ɒ ŋ s ɪ n dʒ ɪ ɒ k
jeongsinjilhwanjadeureul	dʒ ɪ ɒ ŋ s ɪ n dʒ ɪ l h w ɐ n dʒ a d j uː ɹ uː l
jeongsomineun	dʒ ɪ ɒ ŋ s ə m aɪ n ʌ n
jeongssi	dʒ ɪ ɒ ŋ s i
jeongssiga	dʒ ɪ ɒ ŋ s ɪ ɡ ə
jeongssineun	dʒ ɪ ɒ ŋ s aɪ n ʌ n
jeongssiui	dʒ ɪ ɒ ŋ s ɪ j uː i
jeongsugeunmulron	dʒ ɪ ɒ ŋ s uː dʒ j uː n m ʌ l ɹ ə n
jeongsugirenteol	dʒ ɪ ɒ ŋ s uː dʒ ɪ ɹ ə n t ɪ ɒ l
jeongtaein	dʒ ɪ ɒ ŋ t iː ɪ n
jeonguge	dʒ ɪ ɒ ŋ ɡ j uː dʒ
jeongugeul	dʒ ɪ ɒ ŋ ɡ j uː dʒ j uː l
jeongugeuro	dʒ ɪ ɒ ŋ ɡ j uː dʒ j uː ɹ əʊ
jeongugui	dʒ ɪ ɒ ŋ ɡ j uː ɡ w i
jeonguidangeun	dʒ ɪ ɒ ŋ ɡ aɪ d a n dʒ j uː n
jeonguiga	dʒ ɪ ɒ ŋ ɡ w ɪ ɡ ə
jeonguiroun	dʒ ɪ ɒ ŋ ɡ w ɪ ɹ aʊ n
jeonguiui	dʒ ɪ ɒ ŋ ɡ w ɪ j uː i
jeonguk	dʒ ɪ ɒ ŋ ɡ ʌ k
jeongukgyeongjeinyeonhaphoega	dʒ ɪ ɒ ŋ ɡ ə k dʒ j əʊ ŋ dʒ eɪ n j əʊ n h ɐ f əʊ ɡ ə
jeongukjeogeuro	dʒ ɪ ɒ ŋ ɡ ə k dʒ ɪ əʊ dʒ j uː ɹ əʊ
jeongukjeok	dʒ ɪ ɒ ŋ ɡ ə k dʒ ɪ ɒ k
jeongukmini	dʒ ɪ ɒ ŋ ɡ ə k m iː n ɪ
jeongwa	dʒ ɪ ɒ ŋ w ə
jeongwaga	dʒ ɪ ə ŋ w ɑː ɡ ə
jeongwolchoharureul	dʒ ɪ ɒ ŋ w ə l tʃ əʊ h ɑː ɹ ʊə ɹ uː l
jeongwoneuro	dʒ ɪ ɒ ŋ w ə n j uː ɹ əʊ
jeongwongamchugeul	dʒ ɪ ɒ ŋ w ə ŋ ɡ a m tʃ uː dʒ j uː l
jeongyeok	dʒ ɪ ɒ ŋ j əʊ k
jeongyeokjeogeuro	dʒ ɪ ɒ ŋ j əʊ k dʒ ɪ əʊ dʒ j uː ɹ əʊ
jeongyeonguk	dʒ ɪ ɒ ŋ j əʊ ŋ ɡ ʌ k
jeongyonguk	dʒ ɪ ɒ ŋ ɪ ɒ ŋ ɡ ʌ k
jeongyugongjangeul	dʒ ɪ ɒ ŋ j uː ɡ ɒ ŋ dʒ ɐ n dʒ j uː l
jeongyukmyeonche	dʒ ɪ ɒ ŋ j uː k m j əʊ n tʃ
jeongyunsik	dʒ ɪ ɒ ŋ j uː n s ɪ k
jeongyura	dʒ ɪ ɒ ŋ j uː ɹ ə
jeongyurareul	dʒ ɪ ɒ ŋ j uː ɹ eə ɹ ʌ l
jeongyurassiege	dʒ ɪ ɒ ŋ j uː ɹ a s iː dʒ
jeonhabeul	dʒ ɪ ɒ n h ɐ b j uː l
jeonhaedalrago	dʒ ɪ ɒ n h iː d ɐ l ɹ eɪ ɡ əʊ
jeonhaejigi	dʒ ɪ ɒ n h iː dʒ ɪ ɡ ɪ
jeonhaejin	dʒ ɪ ɒ n h iː dʒ ɪ n
jeonhaejinda	dʒ ɪ ɒ n h iː dʒ ɪ n d ə
jeonhaejyeotda	dʒ ɪ ɒ n h iː dʒ j əʊ t d ə
jeonhaetda	dʒ ɪ ɒ n h iː t d ə
jeonhagido	dʒ ɪ ɒ n h ɐ dʒ iː d əʊ
jeonhago	dʒ ɪ ə n h eɪ ɡ əʊ
jeonhaji	dʒ ɪ ɒ n h a dʒ i
jeonhal	dʒ ɪ ɒ n h əl
jeonhamyeonseo	dʒ ɪ ɒ n h ɐ m j əʊ n s eɪ əʊ
jeonhanda	dʒ ɪ ə n h a n d ə
jeonharyeogo	dʒ ɪ ɒ n h ɑː j əʊ ɡ əʊ
jeonharyeoneun	dʒ ɪ ɒ n h ɑː j əʊ n j uː n
jeonhoengeul	dʒ ɪ ɒ n h əʊ n dʒ j uː l
jeonhuhae	dʒ ɪ ɒ n h j uː h iː
jeonhuhaeseon	dʒ ɪ ɒ n h j uː h iː s ɪ ə n
jeonhwa	dʒ ɪ ɒ n h w ə
jeonhwabeonho	dʒ ɪ ɒ n h w eɪ b ɒ n h əʊ
jeonhwabogoneun	dʒ ɪ ɒ n h w ə b ɒ ɡ ə n j uː n
jeonhwahae	dʒ ɪ ɒ n h w ɐ h iː
jeonhwan	dʒ ɪ ɒ n h w ə n
jeonhwandoel	dʒ ɪ ɒ n h w ɐ n d əʊ l
jeonhwandoen	dʒ ɪ ɒ n h w ɐ n d əʊ n
jeonhwandoeneun	dʒ ɪ ɒ n h w ɐ n d əʊ n j uː n
jeonhwaneul	dʒ ɪ ɒ n h w eɪ n ʌ l
jeonhwaneun	dʒ ɪ ɒ n h w eɪ n ʌ n
jeonhwanhaeya	dʒ ɪ ɒ n h w ɐ n h iː j ə
jeonhwareul	dʒ ɪ ɒ n h w eə ɹ ʌ l
jeonhwaui	dʒ ɪ ɒ n h w ɔː i
jeonhwawa	dʒ ɪ ə n h w ɑː w ə
jeonhyanghan	dʒ ɪ ə n h j a ŋ h ə n
jeonhyangjeogin	dʒ ɪ ə n h j a ŋ dʒ ɪ ɒ dʒ ɪ n
jeonhyeo	dʒ ɪ ɒ n h ɪ eɪ əʊ
jeonhyeongeseo	dʒ ɪ ɒ n h j əʊ n dʒ ɪ s eɪ əʊ
jeonilje	dʒ ɪ ɒ n ɪ l dʒ
jeonim	dʒ ɪ ɒ n ɪ m
jeonin	dʒ ɪ ɒ n ɪ n
jeonja	dʒ ɪ ɒ n j ə
jeonjabaljji	dʒ ɪ ɒ n dʒ ɐ b a l dʒ i
jeonjadambaega	dʒ ɪ ɒ n dʒ ɐ d a m b iː ɡ ə
jeonjaeng	dʒ ɪ ɒ n j iː ŋ
jeonjaengdeuri	dʒ ɪ ɒ n j iː ŋ d j uː ɹ i
jeonjaengeul	dʒ ɪ ɒ n j iː n dʒ j uː l
jeonjaengeuro	dʒ ɪ ɒ n j iː n dʒ j uː ɹ əʊ
jeonjaengina	dʒ ɪ ɒ n j iː n dʒ iː n ə
jeonjaengjihwibureul	dʒ ɪ ɒ n j iː ŋ dʒ ɪ h w ɪ b j ʊə ɹ uː l
jeonjajangchi	dʒ ɪ ɒ n dʒ ɐ dʒ a ŋ tʃ ɪ
jeonjajepum	dʒ ɪ ɒ n dʒ eɪ dʒ p ə m
jeonjakgwon	dʒ ɪ ɒ n dʒ a k ɡ w ə n
jeonjatikeseul	dʒ ɪ ɒ n dʒ ɐ t aɪ k s j uː l
jeonjeogeuro	dʒ ɪ ɒ n dʒ ɪ əʊ dʒ j uː ɹ əʊ
jeonjoga	dʒ ɪ ə n dʒ əʊ ɡ ə
jeonju	dʒ ɪ ɒ n dʒ uː
jeonjuboda	dʒ ɪ ɒ n dʒ uː b əʊ d ə
jeonjuga	dʒ ɪ ɒ n dʒ uː ɡ ə
jeonjusicheongeul	dʒ ɪ ɒ n dʒ uː s ɪ tʃ ə n dʒ j uː l
jeonkkajiman	dʒ ɪ ɒ ŋ k ɐ dʒ ɪ m ə n
jeonkkajineun	dʒ ɪ ɒ ŋ k ɐ dʒ aɪ n ʌ n
jeonmaejehan	dʒ ɪ ɒ n m iː dʒ ɛ h ə n
jeonmangchireul	dʒ ɪ ɒ n m ɐ ŋ k aɪ ɹ uː l
jeonmangdo	dʒ ɪ ə n m a ŋ d əʊ
jeonmangdoenda	dʒ ɪ ɒ n m ɐ ŋ d əʊ n d ə
jeonmange	dʒ ɪ ɒ n m eɪ n dʒ
jeonmangeul	dʒ ɪ ɒ n m eɪ n dʒ j uː l
jeonmanghaetda	dʒ ɪ ɒ n m ɐ ŋ h iː t d ə
jeonmangi	dʒ ɪ ɒ n m a ŋ ɡ i
jeonmangida	dʒ ɪ ɒ n m ɐ ŋ ɡ ɪ d ə
jeonmun	dʒ ɪ ɒ n m ʌ n
jeonmunbunya	dʒ ɪ ɒ n m ə n b ʌ n j ə
jeonmuneul	dʒ ɪ ɒ n m ə n j uː l
jeonmuneuro	dʒ ɪ ɒ n m ə n j uː ɹ əʊ
jeonmunga	dʒ ɪ ɒ n m ʌ ŋ ɡ ə
jeonmungadeul	dʒ ɪ ɒ n m ə ŋ ɡ a d j uː l
jeonmungadeuldo	dʒ ɪ ɒ n m ə ŋ ɡ ɐ d j uː l d əʊ
jeonmungadeulgwa	dʒ ɪ ɒ n m ə ŋ ɡ a d j uː l ɡ w ə
jeonmungadeureun	dʒ ɪ ɒ n m ə ŋ ɡ a d j uː ɹ uː n
jeonmungadeuri	dʒ ɪ ɒ n m ə ŋ ɡ a d j uː ɹ i
jeonmungadeurui	dʒ ɪ ɒ n m ə ŋ ɡ a d j uː ɹ uː i
jeonmungaga	dʒ ɪ ɒ n m ə ŋ ɡ ɑː ɡ ə
jeonmungain	dʒ ɪ ɒ n m ə ŋ ɡ eɪ n
jeonmunganeun	dʒ ɪ ɒ n m ə ŋ ɡ a n j uː n
jeonmungaro	dʒ ɪ ɒ n m ə ŋ ɡ a ɹ əʊ
jeonmungaui	dʒ ɪ ɒ n m ə ŋ ɡ ɔː i
jeonmungigwaneseo	dʒ ɪ ɒ n m ə ŋ ɡ ɪ ɡ w ə n ɪ s eɪ əʊ
jeonmunjeomeul	dʒ ɪ ɒ n m ə n dʒ ɪ əʊ m ʌ l
jeonmunjeomin	dʒ ɪ ɒ n m ə n dʒ ɪ ɒ m ɪ n
jeonmunseong	dʒ ɪ ɒ n m ə n s ɪ ɒ ŋ
jeonmunseongeul	dʒ ɪ ɒ n m ə n s ɪ ɒ n dʒ j uː l
jeonmunsurijeomui	dʒ ɪ ɒ n m ə n s ɜː ɹ aɪ dʒ ɒ m j uː i
jeonmunuideureun	dʒ ɪ ɒ n m ə n j uː aɪ d j uː ɹ uː n
jeonmunwiwon	dʒ ɪ ɒ n m ə n w iː w ə n
jeonmyeon	dʒ ɪ ɒ n m j əʊ n
jeonmyeone	dʒ ɪ ɒ n m j əʊ n
jeonmyeonhwahaetjiman	dʒ ɪ ɒ n m j əʊ n h w a h iː t dʒ ɪ m ə n
jeonmyeonjeogin	dʒ ɪ ɒ n m j əʊ n dʒ ɪ ɒ dʒ ɪ n
jeonmyeonjeok	dʒ ɪ ɒ n m j əʊ n dʒ ɪ ɒ k
jeonnal	dʒ ɪ ɒ n əl
jeonnam	dʒ ɪ ɒ n ɑː m
jeonnamcheongjanggwa	dʒ ɪ ɒ n ɐ m tʃ ə ŋ ɡ dʒ a ŋ ɡ w ə
jeonnamdaereul	dʒ ɪ ɒ n a m d eə ɹ uː l
jeonnamjiyeogeseo	dʒ ɪ ɒ n ɐ m dʒ ɪ j əʊ dʒ ɪ s eɪ əʊ
jeonnamjiyeok	dʒ ɪ ɒ n ɐ m dʒ ɪ j əʊ k
jeonnamuui	dʒ ɪ ɒ n ɐ m uː i
jeonnare	dʒ ɪ ɒ n eə
jeonneunghasin	dʒ ɪ ɒ n j uː ŋ h a s ɪ n
jeonnyeom	dʒ ɪ ɒ n j əʊ m
jeonnyeon	dʒ ɪ ɒ n j əʊ n
jeonnyeondaebi	dʒ ɪ ɒ n j əʊ n d iː b aɪ
jeonnyeondoe	dʒ ɪ ɒ n j əʊ n d əʊ
jeonpa	dʒ ɪ ɒ n p ə
jeonpahadeon	dʒ ɪ ɒ n p ɐ h eɪ d ə n
jeonpahaneun	dʒ ɪ ɒ n p ɐ h a n j uː n
jeonpokgideureun	dʒ ɪ ɒ n p ə k dʒ aɪ d j uː ɹ uː n
jeonpokjeogin	dʒ ɪ ɒ n p ə k dʒ ɪ ɒ dʒ ɪ n
jeonra	dʒ ɪ ɒ n ɹ ə
jeonradomindeureul	dʒ ɪ ɒ n ɹ ɐ d ɒ m aɪ n d j uː ɹ uː l
jeonrakhaetseupnida	dʒ ɪ ɒ n ɹ ɐ k h iː t s j uː p n ɪ d ə
jeonrakhan	dʒ ɪ ɒ n ɹ a k h ə n
jeonryageul	dʒ ɪ ɒ n ɹ ɪ a dʒ j uː l
jeonryageuro	dʒ ɪ ɒ n ɹ ɪ ɐ dʒ j uː ɹ əʊ
jeonryagida	dʒ ɪ ɒ n ɹ ɪ a dʒ ɪ d ə
jeonryak	dʒ ɪ ɒ n ɹ ɪ a k
jeonryakgongcheoneul	dʒ ɪ ɒ n ɹ ɪ a k ɡ ɒ ŋ tʃ ə n j uː l
jeonryakjeogeuro	dʒ ɪ ɒ n ɹ ɪ a k dʒ ɪ əʊ dʒ j uː ɹ əʊ
jeonryakjeok	dʒ ɪ ɒ n ɹ ɪ a k dʒ ɪ ɒ k
jeonryaksangeuroseoneun	dʒ ɪ ɒ n ɹ ɪ a k s ɐ n dʒ j uː ɹ əʊ s ɪ əʊ n ʌ n
jeonryangeul	dʒ ɪ ə n r j a ŋ j uː l
jeonrye	dʒ ɪ ɒ n ɹ aɪ
jeonryega	dʒ ɪ ɒ n ɹ ɪ ɛ ɡ ə
jeonryeok	dʒ ɪ ɒ n r j əʊ k
jeonryeokgwa	dʒ ɪ ɒ n r j əʊ k ɡ w ə
jeonryeoksugeuptimjangeun	dʒ ɪ ɒ n r j əʊ k s uː dʒ j uː p t ɪ m dʒ ɐ n dʒ j uː n
jeonryeoksuyoga	dʒ ɪ ɒ n r j əʊ k s aɪ əʊ ɡ ə
jeonsaengi	dʒ ɪ ɒ n s iː ŋ ɡ i
jeonsanmangi	dʒ ɪ ɒ n s ɐ n m a ŋ ɡ i
jeonse	dʒ ɪ ɒ n s
jeonseeseo	dʒ ɪ ɒ n s iː s eɪ əʊ
jeonsega	dʒ ɪ ɒ n s ɛ ɡ ə
