-o	ɔ
imperiosas	i m p ɨ ɾ i ɔ z ɐ ʃ
imperioso	i m p ɨ ɾ i o z ʊ
imperiosos	i m p ɨ ɾ i ɔ z ʊ ʃ
impermeável	i m p ɨ ɾ ə m ɨ a v ɛ l
imperscrutáveis	i m p ɨ ɾ ə s k ɹ u t a v eɪ ʃ
impertigados	i m p ɨ ɾ ə t i ɡ a d ʊ ʃ
impertigou	i m p ɨ ɾ ə t i ɡ o w
impertinencia	i m p ɨ ɾ ə t i n eɪ ŋ s i ɐ
impertinencias	i m p ɨ ɾ ə t i n eɪ ŋ s i ɐ ʃ
impertinente	i m p ɨ ɾ ə t i n eɪ ŋ t ɨ
impertinentes	i m p ɨ ɾ ə t i n eɪ ŋ t ɨ ʃ
impertinência	i m p ɨ ɾ ə t i n eɪ ŋ s j ɐ
impertinências	i m p ɨ ɾ ə t i n eɪ ŋ s j ɐ ʃ
imperturbabilidade	i m p ɨ ɾ ə t u ɾ ə b ɐ b i l i d a d ɨ
imperturbada	i m p ɨ ɾ ə t u ɾ ə b a d ɐ
imperturbado	i m p ɨ ɾ ə t u ɾ ə b a d ʊ
imperturbavelmente	i m p ɨ ɾ ə t u ɾ ə b ɐ v ɨ l m eɪ ŋ t ɨ
imperturbáveis	i m p ɨ ɾ ə t u ɾ ə b a v eɪ ʃ
imperturbável	i m p ɨ ɾ ə t u ɾ ə b a v ɛ l
impertérrito	i m p ɨ ɾ ə t ɛ ʁ i t ʊ
impertérritos	i m p ɨ ɾ ə t ɛ ʁ i t ʊ ʃ
impervias	i m p ɨ ɾ ə v i ɐ ʃ
impeto	i m p ɛ t ʊ
impetos	i m p ɛ t ʊ ʃ
impetrou	i m p ɨ t ɹ o w
impetuosa	i m p ɨ t w ɔ z ɐ
impetuosamente	i m p ɨ t w u z ɐ m eɪ ŋ t ɨ
impetuosas	i m p ɨ t w ɔ z ɐ ʃ
impetuosidade	i m p ɨ t w u z i d a d ɨ
impetuoso	i m p ɨ t w o z ʊ
impetuosos	i m p ɨ t w ɔ z ʊ ʃ
impida	i m p i d ɐ
impidão	i m p i d ɐ̃ʊ̃
impiedade	i m p i ɨ d a d ɨ
impiedades	i m p i ɨ d a d ɨ ʃ
impiedosa	i m p i ɨ d ɔ z ɐ
impiedoso	i m p i ɨ d o z ʊ
impingem	i m p i ŋ ʒ eɪ ŋ
impingiam	i m p i ŋ ʒ i ɐ̃ʊ̃
impingido	i m p i ŋ ʒ i d ʊ
impingir	i m p i ŋ ʒ i ɹ
impingir-lhe	i m p i ŋ ʒ i ɹ ʎ ɨ
impingiram	i m p i ŋ ʒ i ɾ ɐ̃ʊ̃
implacavel	i m p l ɐ k a v ɛ l
implacáveis	i m p l ɐ k a v eɪ ʃ
implacável	i m p l ɐ k a v ɛ l
implantado	i m p l ɐ̃ ŋ t a d ʊ
implica	i m p l i k ɐ
implicado	i m p l i k a d ʊ
implicancia	i m p l i k ɐ̃ ŋ s i ɐ
implicante	i m p l i k ɐ̃ ŋ t ɨ
implicar	i m p l i k a ɹ
implicava	i m p l i k a v ɐ
implicavam	i m p l i k a v ɐ̃ʊ̃
implicâncias	i m p l i k ɐ̃ ŋ s j ɐ ʃ
implora	i m p l ɔ ɾ ɐ
implorando	i m p l u ɾ ɐ̃ ŋ d ʊ
implorar	i m p l u ɾ a ɹ
implorativa	i m p l u ɾ ɐ t i v ɐ
implorava	i m p l u ɾ a v ɐ
imploravam	i m p l u ɾ a v ɐ̃ʊ̃
implorou	i m p l u ɾ o w
implume	i m p l u m ɨ
implumes	i m p l u m ɨ ʃ
implácavel	i m p l a k ɐ v ɛ l
impofições	i m p u f i s õ j ʃ
impoflivel	i m p u f l i v ɛ l
impofta	i m p o f t ɐ
impolidez	i m p u l i d e ʃ
impoluta	i m p u l u t ɐ
imponderabilíssima	i m p u ŋ d ɨ ɾ ɐ b i l i s i m ɐ
imponderáveis	i m p u ŋ d ɨ ɾ a v eɪ ʃ
imponderável	i m p u ŋ d ɨ ɾ a v ɛ l
impondo	i m p o ŋ d ʊ
imponencia	i m p u n eɪ ŋ s i ɐ
imponente	i m p u n eɪ ŋ t ɨ
imponentes	i m p u n eɪ ŋ t ɨ ʃ
imponham	i m p o ɲ ɐ̃ʊ̃
imponho	i m p o ɲ ʊ
imponência	i m p u n eɪ ŋ s j ɐ
impopularidade	i m p u p u l ɐ ɾ i d a d ɨ
impor	i m p o ɹ
impor-lhe	i m p o ɹ ʎ ɨ
imporem	i m p o ɾ eɪ ŋ
imporie	i m p u ɾ i ɨ
importa	i m p ɔ ɾ ə t ɐ
importa-se	i m p ɔ ɾ ə t ɐ s ɨ
importada	i m p u ɾ ə t a d ɐ
importado	i m p u ɾ ə t a d ʊ
importadora	i m p u ɾ ə t ɐ d o ɾ ɐ
importadores	i m p u ɾ ə t ɐ d o ɾ ɨ ʃ
importados	i m p u ɾ ə t a d ʊ ʃ
importam	i m p ɔ ɾ ə t ɐ̃ʊ̃
importancia	i m p u ɾ ə t ɐ̃ ŋ s i ɐ
importando	i m p u ɾ ə t ɐ̃ ŋ d ʊ
importante	i m p u ɾ ə t ɐ̃ ŋ t ɨ
importantelogar	i m p u ɾ ə t ɐ̃ ŋ t ɨ l u ɡ a ɹ
importantes	i m p u ɾ ə t ɐ̃ ŋ t ɨ ʃ
importantissima	i m p u ɾ ə t ɐ̃ ŋ t i s i m ɐ
importantissimo	i m p u ɾ ə t ɐ̃ ŋ t i s i m ʊ
importantisslmo	i m p u ɾ ə t ɐ̃ ŋ t i s l m ʊ
importantíssimos	i m p u ɾ ə t ɐ̃ ŋ t i s i m ʊ ʃ
importaos	i m p u ɾ ə t aʊ ʃ
importar	i m p u ɾ ə t a ɹ
importara	i m p u ɾ ə t a ɾ ɐ
importaria	i m p u ɾ ə t ɐ ɾ i ɐ
importariam	i m p u ɾ ə t ɐ ɾ i ɐ̃ʊ̃
importasse	i m p u ɾ ə t a s ɨ
importava	i m p u ɾ ə t a v ɐ
importavam	i m p u ɾ ə t a v ɐ̃ʊ̃
importação	i m p u ɾ ə t ɐ s ɐ̃ʊ̃
importações	i m p u ɾ ə t ɐ s õ j ʃ
importe	i m p ɔ ɾ ə t ɨ
importei	i m p u ɾ ə t eɪ
importes	i m p ɔ ɾ ə t ɨ ʃ
importo	i m p ɔ ɾ ə t ʊ
importou	i m p u ɾ ə t o w
importun	i m p u ɾ ə t ũ ŋ
importuna	i m p u ɾ ə t u n ɐ
importunar	i m p u ɾ ə t u n a ɹ
importunas	i m p u ɾ ə t u n ɐ ʃ
importunasse	i m p u ɾ ə t u n a s ɨ
importunava	i m p u ɾ ə t u n a v ɐ
importunação	i m p u ɾ ə t u n ɐ s ɐ̃ʊ̃
importunações	i m p u ɾ ə t u n ɐ s õ j ʃ
importunei	i m p u ɾ ə t u n eɪ
importunidade	i m p u ɾ ə t u n i d a d ɨ
importuno	i m p u ɾ ə t u n ʊ
importunos	i m p u ɾ ə t u n ʊ ʃ
importuná	i m p u ɾ ə t u n a
importunão	i m p u ɾ ə t u n ɐ̃ʊ̃
importância	i m p u ɾ ə t ɐ̃ ŋ s j ɐ
importíiva	i m p u ɾ ə t i i v ɐ
impos	i m p ʊ ʃ
imposição	i m p u z i s ɐ̃ʊ̃
imposições	i m p u z i s õ j ʃ
impossibilidade	i m p u s i b i l i d a d ɨ
impossibilidades	i m p u s i b i l i d a d ɨ ʃ
impossibilitado	i m p u s i b i l i t a d ʊ
impossibilitam	i m p u s i b i l i t ɐ̃ʊ̃
impossibilitando	i m p u s i b i l i t ɐ̃ ŋ d ʊ
impossibilitaram	i m p u s i b i l i t a ɾ ɐ̃ʊ̃
impossibilitou	i m p u s i b i l i t o w
impossiveis	i m p u s i v eɪ ʃ
impossivel	i m p u s i v ɛ l
impossíveis	i m p u s i v eɪ ʃ
impossível	i m p u s i v ɛ l
imposta	i m p ɔ ʃ t ɐ
impostas	i m p ɔ ʃ t ɐ ʃ
imposto	i m p o ʃ t ʊ
impostor	i m p u ʃ t o ɹ
impostores	i m p u ʃ t o ɾ ɨ ʃ
impostos	i m p ɔ s t ʊ ʃ
impostura	i m p u ʃ t u ɾ ɐ
impostós	i m p u ʃ t ɔ ʃ
impotencia	i m p u t eɪ ŋ s i ɐ
impotente	i m p u t eɪ ŋ t ɨ
impotentes	i m p u t eɪ ŋ t ɨ ʃ
impotência	i m p u t eɪ ŋ s j ɐ
impoz	i m p ɔ ʃ
impozeffe	i m p u z e f ɨ
impozera	i m p u z e ɾ ɐ
impoífibilidades	i m p u i f i b i l i d ɐ d ɨ ʃ
imppssivel	i m p s i v ɛ l
impraticável	i m p ɹ ɐ t i k a v ɛ l
imprecando	i m p ɹ ɨ k ɐ̃ ŋ d ʊ
imprecar	i m p ɹ ɨ k a ɹ
imprecava	i m p ɹ ɨ k a v ɐ
imprecação	i m p ɹ ɨ k ɐ s ɐ̃ʊ̃
imprecações	i m p ɹ ɨ k ɐ s õ j ʃ
imprecisa	i m p ɹ ɨ s i z ɐ
impreco	i m p ɹ ɛ k ʊ
imprecou	i m p ɹ ɨ k o w
impregnada	i m p ɹ ɨ ɡ n a d ɐ
impregnadas	i m p ɹ ɨ ɡ n a d ɐ ʃ
impregnado	i m p ɹ ɨ ɡ n a d ʊ
impregnados	i m p ɹ ɨ ɡ n a d ʊ ʃ
impregnam	i m p ɹ ɛ ɡ n ɐ̃ʊ̃
impregnara	i m p ɹ ɨ ɡ n a ɾ ɐ
impregnaram	i m p ɹ ɨ ɡ n a ɾ ɐ̃ʊ̃
impregnasse	i m p ɹ ɨ ɡ n a s ɨ
imprensa	i m p ɹ eɪ ŋ s ɐ
imprensas	i m p ɹ eɪ ŋ s ɐ ʃ
imprescindíveis	i m p ɹ ɨ s i ŋ d i v eɪ ʃ
imprescindível	i m p ɹ ɨ s i ŋ d i v ɛ l
impressa	i m p ɹ ɨ s ɐ
impressas	i m p ɹ ɨ s ɐ ʃ
impressiona	i m p ɹ ɨ s i o n ɐ
impressionada	i m p ɹ ɨ s i u n a d ɐ
impressionado	i m p ɹ ɨ s i u n a d ʊ
impressionador	i m p ɹ ɨ s i u n ɐ d o ɹ
impressionadora	i m p ɹ ɨ s i u n ɐ d o ɾ ɐ
impressionadoramente	i m p ɹ ɨ s i u n ɐ d u ɾ ɐ m eɪ ŋ t ɨ
impressionadoras	i m p ɹ ɨ s i u n ɐ d o ɾ ɐ ʃ
impressionadores	i m p ɹ ɨ s i u n ɐ d o ɾ ɨ ʃ
impressionados	i m p ɹ ɨ s i u n a d ʊ ʃ
impressionando	i m p ɹ ɨ s i u n ɐ̃ ŋ d ʊ
impressionar	i m p ɹ ɨ s i u n a ɹ
impressionara	i m p ɹ ɨ s i u n a ɾ ɐ
impressionaram	i m p ɹ ɨ s i u n a ɾ ɐ̃ʊ̃
impressionava	i m p ɹ ɨ s i u n a v ɐ
impressionavam	i m p ɹ ɨ s i u n a v ɐ̃ʊ̃
impressionavel	i m p ɹ ɨ s i u n a v ɛ l
impressionista	i m p ɹ ɨ s i u n i ʃ t ɐ
impressionou	i m p ɹ ɨ s i u n o w
impressionou-se	i m p ɹ ɨ s i u n o w s ɨ
impressionáveis	i m p ɹ ɨ s i u n a v eɪ ʃ
impressionável	i m p ɹ ɨ s i u n a v ɛ l
impresso	i m p ɹ ɨ s ʊ
impressor	i m p ɹ ɨ s o ɹ
impressos	i m p ɹ ɨ s ʊ ʃ
impressão	i m p ɹ ɨ s ɐ̃ʊ̃
impressões	i m p ɹ ɨ s õ j ʃ
imprestáveis	i m p ɹ ɨ ʃ t a v eɪ ʃ
imprestável	i m p ɹ ɨ ʃ t a v ɛ l
impreterivelmente	i m p ɹ ɨ t e ɾ i v ɨ l m eɪ ŋ t ɨ
imprevidente	i m p ɹ ɨ v i d eɪ ŋ t ɨ
imprevidentemente	i m p ɹ ɨ v i d e n t ɨ m eɪ ŋ t ɨ
imprevidência	i m p ɹ ɨ v i d eɪ ŋ s j ɐ
imprevista	i m p ɹ ɨ v i ʃ t ɐ
imprevistas	i m p ɹ ɨ v i ʃ t ɐ ʃ
imprevisto	i m p ɹ ɨ v i ʃ t ʊ
imprevistos	i m p ɹ ɨ v i ʃ t ʊ ʃ
imprimadura	i m p ɹ i m ɐ d u ɾ ɐ
imprime	i m p ɹ i m ɨ
imprimem	i m p ɹ i m eɪ ŋ
imprimi	i m p ɹ i m i
imprimia	i m p ɹ i m i ɐ
imprimiam	i m p ɹ i m i ɐ̃ʊ̃
imprimido	i m p ɹ i m i d ʊ
imprimil	i m p ɹ i m i l
imprimindo	i m p ɹ i m i ŋ d ʊ
imprimio	i m p ɹ i m iʊ
imprimir	i m p ɹ i m i ɹ
imprimiu	i m p ɹ i m iʊ
improba	i m p ɹ o b ɐ
improbo	i m p ɹ o b ʊ
improcedência	i m p ɹ u s ɨ d eɪ ŋ s j ɐ
improductividade	i m p ɹ u d u t i v i d a d ɨ
improductivo	i m p ɹ u d u t i v ʊ
improdutivas	i m p ɹ u d u t i v ɐ ʃ
improdutividade	i m p ɹ u d u t i v i d a d ɨ
improdutivos	i m p ɹ u d u t i v ʊ ʃ
improficua	i m p ɹ u f i k u ɐ
improficuamente	i m p ɹ u f i k u ɐ m eɪ ŋ t ɨ
improficuidade	i m p ɹ u f i k uɪ d a d ɨ
improfícua	i m p ɹ u f i k u ɐ
improfícuo	i m p ɹ u f i k u ʊ
improperar	i m p ɹ u p ɨ ɾ a ɹ
improperio	i m p ɹ u p ɨ ɾ iʊ
impropria	i m p ɹ u p ɹ i ɐ
impropriada	i m p ɹ u p ɹ i a d ɐ
impropriadas	i m p ɹ u p ɹ i a d ɐ ʃ
impropriando	i m p ɹ u p ɹ i ɐ̃ ŋ d ʊ
impropriou	i m p ɹ u p ɹ i o w
impropério	i m p ɹ u p ɛ ɾ j ʊ
impropérios	i m p ɹ u p ɛ ɾ j ʊ ʃ
improvadas	i m p ɹ u v a d ɐ ʃ
improvavel	i m p ɹ u v a v ɛ l
improvifamente	i m p ɹ u v i f ɐ m eɪ ŋ t ɨ
improvisada	i m p ɹ u v i z a d ɐ
improvisadas	i m p ɹ u v i z a d ɐ ʃ
improvisado	i m p ɹ u v i z a d ʊ
improvisadores	i m p ɹ u v i z ɐ d o ɾ ɨ ʃ
improvisamos	i m p ɹ u v i z ɐ̃ m ʊ ʃ
improvisando	i m p ɹ u v i z ɐ̃ ŋ d ʊ
improvisar	i m p ɹ u v i z a ɹ
improvisaram	i m p ɹ u v i z a ɾ ɐ̃ʊ̃
improvisava	i m p ɹ u v i z a v ɐ
improvisavam	i m p ɹ u v i z a v ɐ̃ʊ̃
improvisei	i m p ɹ u v i z eɪ
improviso	i m p ɹ u v i z ʊ
improvisos	i m p ɹ u v i z ʊ ʃ
improvisou	i m p ɹ u v i z o w
imprudencia	i m p ɹ u d e n s i ɐ
imprudente	i m p ɹ u d eɪ ŋ t ɨ
imprudentemente	i m p ɹ u d e n t ɨ m eɪ ŋ t ɨ
imprudentes	i m p ɹ u d eɪ ŋ t ɨ ʃ
imprudência	i m p ɹ u d eɪ ŋ s j ɐ
imprudências	i m p ɹ u d eɪ ŋ s j ɐ ʃ
imprópria	i m p ɹ ɔ p r j ɐ
impróprias	i m p ɹ ɔ p r j ɐ ʃ
impróprio	i m p ɹ ɔ p r j ʊ
impróprios	i m p ɹ ɔ p r j ʊ ʃ
impudente	i m p u d eɪ ŋ t ɨ
impudentemente	i m p u d e n t ɨ m eɪ ŋ t ɨ
impudentes	i m p u d eɪ ŋ t ɨ ʃ
impudica	i m p u d i k ɐ
impudicas	i m p u d i k ɐ ʃ
impudico	i m p u d i k ʊ
impudicos	i m p u d i k ʊ ʃ
impudor	i m p u d o ɹ
impudência	i m p u d eɪ ŋ s j ɐ
impugna	i m p u ɡ n ɐ
impugnando	i m p u ɡ n ɐ̃ ŋ d ʊ
impugnaíle	i m p u ɡ n ɐ i l ɨ
impugne	i m p u ɡ n ɨ
impugnou	i m p u ɡ n o w
impulsionam	i m p u w s i o n ɐ̃ʊ̃
impulsionar	i m p u w s i u n a ɹ
impulsionaram	i m p u w s i u n a ɾ ɐ̃ʊ̃
impulsionem	i m p u w s i o n eɪ ŋ
impulsiva	i m p u w s i v ɐ
impulsivas	i m p u w s i v ɐ ʃ
impulsividade	i m p u w s i v i d a d ɨ
impulsivo	i m p u w s i v ʊ
impulsivos	i m p u w s i v ʊ ʃ
impulso	i m p u w s ʊ
impulsos	i m p u w s ʊ ʃ
impulsão	i m p u w s ɐ̃ʊ̃
impune	i m p u n ɨ
impunemente	i m p u n ɨ m eɪ ŋ t ɨ
impunes	i m p u n ɨ ʃ
impunha	i m p ũ ɲ ɐ
impunham	i m p ũ ɲ ɐ̃ʊ̃
impunidade	i m p u n i d a d ɨ
impura	i m p u ɾ ɐ
impuras	i m p u ɾ ɐ ʃ
impureza	i m p u ɾ e z ɐ
impurezas	i m p u ɾ e z ɐ ʃ
impuro	i m p u ɾ ʊ
impuros	i m p u ɾ ʊ ʃ
impuríssimos	i m p u ɾ i s i m ʊ ʃ
impus	i m p u ʃ
impusera	i m p u z ɛ ɾ ɐ
impuseram	i m p u z ɛ ɾ ɐ̃ʊ̃
impusesse	i m p u z ɛ s ɨ
impuseste	i m p u z ɛ ʃ t ɨ
imputam	i m p u t ɐ̃ʊ̃
imputamos	i m p u t ɐ̃ m ʊ ʃ
imputar	i m p u t a ɹ
imputasse	i m p u t a s ɨ
imputavam	i m p u t a v ɐ̃ʊ̃
imputação	i m p u t ɐ s ɐ̃ʊ̃
imputações	i m p u t ɐ s õ j ʃ
imputou	i m p u t o w
impuzera	i m p u z e ɾ ɐ
impávida	i m p a v i d ɐ
impávido	i m p a v i d ʊ
impávidos	i m p a v i d ʊ ʃ
império	i m p ɛ ɾ j ʊ
impérios	i m p ɛ ɾ j ʊ ʃ
impérvia	i m p ɛ ɾ ə v j ɐ
impérvio	i m p ɛ ɾ ə v j ʊ
impô	i m p o
impôr	i m p o ɹ
impôs	i m p o ʃ
impõe	i m p õ j
impõelhes	i m p õ j ʎ ɨ ʃ
impõem	i m p õ j m
impões	i m p õ j ʃ
impúbere	i m p u b ɨ ɾ ɨ
imraortal	i m ɹ ɐ u ɾ ə t ɑ l
imrgem	i m ɾ ə ʒ eɪ ŋ
imtt	i m t
imunda	i m ũ ŋ d ɐ
imundamente	i m ũ ŋ d ɐ m eɪ ŋ t ɨ
imundas	i m ũ ŋ d ɐ ʃ
imundo	i m ũ ŋ d ʊ
imundos	i m ũ ŋ d ʊ ʃ
imundícias	i m ũ ŋ d i s j ɐ ʃ
imundície	i m ũ ŋ d i s j ɨ
imundícies	i m ũ ŋ d i s j ɨ ʃ
imune	i m u n ɨ
imutabilidade	i m u t ɐ b i l i d a d ɨ
imutáveis	i m u t a v eɪ ʃ
imutável	i m u t a v ɛ l
imácula	i m a k u l ɐ
imáculo	i m a k u l ʊ
imóbil	i m ɔ b i l
imóveis	i m ɔ v eɪ ʃ
imóvel	i m ɔ v ɛ l
in	i n
inabaláveis	i n ɐ b ɐ l a v eɪ ʃ
inabalável	i n ɐ b ɐ l a v ɛ l
inabitáveis	i n ɐ b i t a v eɪ ʃ
inabitável	i n ɐ b i t a v ɛ l
inabordáveis	i n ɐ b u ɾ ə d a v eɪ ʃ
inabordável	i n ɐ b u ɾ ə d a v ɛ l
inacabado	i n ɐ k ɐ b a d ʊ
inacabáveis	i n ɐ k ɐ b a v eɪ ʃ
inaccessivel	i n ɐ s ɨ s i v ɛ l
inacessíveis	i n ɐ s ɨ s i v eɪ ʃ
inacessível	i n ɐ s ɨ s i v ɛ l
inacreditavel	i n ɐ k ɹ e d i t a v ɛ l
inacreditável	i n ɐ k ɹ e d i t a v ɛ l
inacção	i n a s ɐ̃ʊ̃
inadaptação	i n ɐ d ɐ p t ɐ s ɐ̃ʊ̃
inadaptáveis	i n ɐ d ɐ p t a v eɪ ʃ
inadaptável	i n ɐ d ɐ p t a v ɛ l
inadmissível	i n ɐ d m i s i v ɛ l
inadvertencia	i n ɐ d v e ɾ ə t eɪ ŋ s i ɐ
inadvertidamente	i n ɐ d v e ɾ ə t i d ɐ m eɪ ŋ t ɨ
inadvertência	i n ɐ d v ɨ ɾ ə t eɪ ŋ s j ɐ
inalcansável	i n ɑ l k ɐ̃ ŋ s a v ɛ l
inalcançadas	i n ɑ l k ɐ̃ ŋ s a d ɐ ʃ
inalienáveis	i n ɐ l i ɨ n a v eɪ ʃ
inalienável	i n ɐ l i ɨ n a v ɛ l
inalteradamente	i n ɑ l t ɨ ɾ ɐ d ɐ m eɪ ŋ t ɨ
inalteravelmente	i n ɑ l t ɨ ɾ ɐ v ɨ l m eɪ ŋ t ɨ
inalteráveis	i n ɑ l t ɨ ɾ a v eɪ ʃ
inalterável	i n ɑ l t ɨ ɾ a v ɛ l
inambari	i n ɐ̃ m b ɐ ɾ i
inambulação	i n ɐ̃ m b u l ɐ s ɐ̃ʊ̃
inanes	i n ɐ̃ n ɨ ʃ
inanidade	i n ɐ n i d a d ɨ
inanimada	i n ɐ n i m a d ɐ
inanimado	i n ɐ n i m a d ʊ
inanimados	i n ɐ n i m a d ʊ ʃ
inaniçâo	i n ɐ n i s ɐ ʊ
inanição	i n ɐ n i s ɐ̃ʊ̃
inapercebido	i n ɐ p e ɾ ə s ɨ b i d ʊ
inapreciáveis	i n ɐ p ɹ e s i a v eɪ ʃ
inapreciável	i n ɐ p ɹ e s i a v ɛ l
inaptas	i n a p t ɐ ʃ
inaptidão	i n ɐ p t i d ɐ̃ʊ̃
inapto	i n a p t ʊ
inaptos	i n a p t ʊ ʃ
inarticulada	i n ɐ ɾ ə t i k u l a d ɐ
inarticuladas	i n ɐ ɾ ə t i k u l a d ɐ ʃ
inata	i n a t ɐ
inatacado	i n ɐ t ɐ k a d ʊ
inatinctivamente	i n ɐ t i ŋ k t i v ɐ m eɪ ŋ t ɨ
inatingíveis	i n ɐ t i ŋ ʒ i v eɪ ʃ
inatingível	i n ɐ t i ŋ ʒ i v ɛ l
inatividade	i n ɐ t i v i d a d ɨ
inativo	i n ɐ t i v ʊ
inativos	i n ɐ t i v ʊ ʃ
inato	i n a t ʊ
inattenção	i n ɐ t eɪ ŋ s ɐ̃ʊ̃
inattingiveis	i n ɐ t i ŋ ʒ i v eɪ ʃ
inaturáveis	i n ɐ t u ɾ a v eɪ ʃ
inaturável	i n ɐ t u ɾ a v ɛ l
inaudita	i n aʊ d i t ɐ
inauditas	i n aʊ d i t ɐ ʃ
inaudito	i n aʊ d i t ʊ
inauditos	i n aʊ d i t ʊ ʃ
inaudíveis	i n aʊ d i v eɪ ʃ
inaugurais	i n aʊ ɡ u ɾ aɪ ʃ
inaugural	i n aʊ ɡ u ɾ ɑ l
inaugurar	i n aʊ ɡ u ɾ a ɹ
inaugurava	i n aʊ ɡ u ɾ a v ɐ
inauguração	i n aʊ ɡ u ɾ ɐ s ɐ̃ʊ̃
inaugurou	i n aʊ ɡ u ɾ o w
inavaliável	i n ɐ v ɐ l i a v ɛ l
inação	i n ɐ s ɐ̃ʊ̃
incalculaveis	i ŋ k ɑ l k u l ɐ v eɪ ʃ
incalculáveis	i ŋ k ɑ l k u l a v eɪ ʃ
incalculável	i ŋ k ɑ l k u l a v ɛ l
incandescente	i ŋ k ɐ̃ ŋ d ɨ s eɪ ŋ t ɨ
incandescentes	i ŋ k ɐ̃ ŋ d ɨ s eɪ ŋ t ɨ ʃ
incandescência	i ŋ k ɐ̃ ŋ d ɨ s eɪ ŋ s j ɐ
incanfavcis	i ŋ k ɐ̃ ŋ f ɐ v s i ʃ
incansavelmente	i ŋ k ɐ̃ ŋ s ɐ v ɨ l m eɪ ŋ t ɨ
incansáveis	i ŋ k ɐ̃ ŋ s a v eɪ ʃ
incansável	i ŋ k ɐ̃ ŋ s a v ɛ l
incançaveis	i ŋ k ɐ̃ ŋ s ɐ v eɪ ʃ
incapacidade	i ŋ k ɐ p ɐ s i d a d ɨ
incapaz	i ŋ k ɐ p a ʃ
incapazes	i ŋ k ɐ p a z ɨ ʃ
incaracterísticos	i ŋ k ɐ ɾ ɐ t ɨ ɾ i ʃ t i k ʊ ʃ
incarnado	i ŋ k ɐ ɾ ə n a d ʊ
incarnação	i ŋ k ɐ ɾ ə n ɐ s ɐ̃ʊ̃
incas	i ŋ k ɐ ʃ
incauta	i ŋ k aʊ t ɐ
incauto	i ŋ k aʊ t ʊ
incendeia	i ŋ s eɪ ŋ d eɪ ɐ
incendeiam	i ŋ s eɪ ŋ d eɪ ɐ̃ʊ̃
incendiada	i ŋ s eɪ ŋ d i a d ɐ
incendiadas	i ŋ s eɪ ŋ d i a d ɐ ʃ
incendiado	i ŋ s eɪ ŋ d i a d ʊ
incendiar	i ŋ s eɪ ŋ d i a ɹ
incendiara	i ŋ s eɪ ŋ d i a ɾ ɐ
incendiario	i ŋ s eɪ ŋ d i ɐ ɾ iʊ
incendiava-lhe	i ŋ s eɪ ŋ d i a v ɐ ʎ ɨ
incendidas	i ŋ s eɪ ŋ d i d ɐ ʃ
incendido	i ŋ s eɪ ŋ d i d ʊ
incendidos	i ŋ s eɪ ŋ d i d ʊ ʃ
incendio	i ŋ s eɪ ŋ d iʊ
incendiou	i ŋ s eɪ ŋ d i o w
incendiária	i ŋ s eɪ ŋ d i a ɾ j ɐ
incendiário	i ŋ s eɪ ŋ d i a ɾ j ʊ
incendiários	i ŋ s eɪ ŋ d i a ɾ j ʊ ʃ
incenfar	i ŋ s eɪ ŋ f a ɹ
incensa	i ŋ s eɪ ŋ s ɐ
incensador	i ŋ s eɪ ŋ s ɐ d o ɹ
incensam	i ŋ s eɪ ŋ s ɐ̃ʊ̃
incensava	i ŋ s eɪ ŋ s a v ɐ
incenso	i ŋ s eɪ ŋ s ʊ
incensos	i ŋ s eɪ ŋ s ʊ ʃ
incensou	i ŋ s eɪ ŋ s o w
incentivo	i ŋ s eɪ ŋ t i v ʊ
incerta	i ŋ s ɛ ɾ ə t ɐ
incertas	i ŋ s ɛ ɾ ə t ɐ ʃ
incerteza	i ŋ s ɨ ɾ ə t e z ɐ
incertezas	i ŋ s ɨ ɾ ə t e z ɐ ʃ
incerto	i ŋ s ɛ ɾ ə t ʊ
incertos	i ŋ s ɛ ɾ ə t ʊ ʃ
incessante	i ŋ s ɨ s ɐ̃ ŋ t ɨ
incessantemente	i ŋ s ɨ s ɐ̃ ŋ t ɨ m eɪ ŋ t ɨ
incessantes	i ŋ s ɨ s ɐ̃ ŋ t ɨ ʃ
incestos	i ŋ s ɛ ʃ t ʊ ʃ
incestuosamente	i ŋ s ɨ ʃ t w u z ɐ m eɪ ŋ t ɨ
incestuosidades	i ŋ s ɨ ʃ t w u z i d a d ɨ ʃ
incestuoso	i ŋ s ɨ ʃ t w o z ʊ
incha	i ŋ ʃ ɐ
inchada	i ŋ ʃ a d ɐ
inchadas	i ŋ ʃ a d ɐ ʃ
inchado	i ŋ ʃ a d ʊ
inchados	i ŋ ʃ a d ʊ ʃ
incham	i ŋ ʃ ɐ̃ʊ̃
inchando	i ŋ ʃ ɐ̃ ŋ d ʊ
inchar	i ŋ ʃ a ɹ
incharam	i ŋ ʃ a ɾ ɐ̃ʊ̃
incharem	i ŋ ʃ a ɾ eɪ ŋ
inchasse	i ŋ ʃ a s ɨ
inchava	i ŋ ʃ a v ɐ
inchavam	i ŋ ʃ a v ɐ̃ʊ̃
inchação	i ŋ ʃ ɐ s ɐ̃ʊ̃
inchou	i ŋ ʃ o w
incidem	i ŋ s i d eɪ ŋ
incidentalmente	i ŋ s i d e n t ɑ l m eɪ ŋ t ɨ
incidente	i ŋ s i d eɪ ŋ t ɨ
incidentemente	i ŋ s i d e n t ɨ m eɪ ŋ t ɨ
incidentes	i ŋ s i d eɪ ŋ t ɨ ʃ
