'l	ɛ l l e
l'atleta	l a t l ɛ t a
l'atmosfera	l a t m o s f ɛ r a
l'atra	l a t r a
l'atre	l a t r e
l'atrio	l a t r i o
l'atro	l a t r o
l'atrocità	l a t r o tʃ i t a
l'attaccava	l a tː a kː a v a
l'attacco	l a tː a kː o
l'attaccò	l a tː a kː ɔ
l'atteggiamento	l a tː e dʒː a m e n t o
l'attender	l a tː e n d ɛ r
l'attendere	l a tː ɛ n d e r e
l'attendessero	l a tː e n d e ss e r o
l'attendeva	l a tː e n d ɛ v a
l'attentato	l a tː e n t a t o
l'attenti	l a tː ɛ n t ɪ
l'attenzione	l a tː e n ts i o n e
l'atterra	l a tː ɛ r ɾ a
l'atterrito	l a tː e r ɾ i t o
l'attesa	l a tː e z a
l'attestato	l a tː e s t a t o
l'atti	l a tː ɪ
l'attigua	l a tː i ɡ w a
l'attiguo	l a tː i ɡ w o
l'attila	l a tː i l a
l'attimo	l a tː i m o
l'attira	l a tː i r a
l'attirò	l a tː i ɾ ɔ
l'attività	l a tː i v i t a
l'atto	l a tː o
l'attonito	l a tː ɔ n i t o
l'attore	l a tː o r e
l'attorniavano	l a tː o r n j a v a n o
l'attraevano	l a tː r a e v a n o
l'attrice	l a tː r i tʃ e
l'attuazione	l a tː ʊ a ts i o n e
l'audacia	l a ʊ d a tʃ a
l'augello	l a ʊ dʒ ɛ l l o
l'augurio	l a ʊ ɡ u r i o
l'auguro	l a ʊ ɡ ʊ r o
l'augusta	l a ʊ ɡ u s t a
l'aula	l a ʊ l a
l'aumentano	l a ʊ m e n t a n o
l'aura	l a ʊ r a
l'aure	l a ʊ r e
l'aurea	l a ʊ r e a
l'auree	l a ʊ r ɛ e
l'aureo	l a ʊ r e o
l'aureola	l a ʊ r ɛ o l a
l'auro	l a ʊ r o
l'aurora	l a ʊ r ɔ r a
l'ausilio	l a w z i l i o
l'austera	l a ʊ s t ɛ r a
l'australia	l a ʊ s t r a l i a
l'austria	l a ʊ s t r i a
l'autenticità	l a ʊ t e n t i tʃ i t a
l'automobile	l a ʊ t o m ɔ b i l e
l'autor	l a ʊ t ɔ r
l'autore	l a ʊ t o r e
l'autorità	l a ʊ t o r i t a
l'autunno	l a ʊ t u n n o
l'avagli	l a v a ʎ ɪ
l'avallo	l a v a l l o
l'avanguardia	l a v a ŋ ɡ w a r d i a
l'avanza	l a v a n ts a
l'avanzarsi	l a v a n ts a r s ɪ
l'avanzasse	l a v a n ts a ss e
l'avanzo	l a v a n ts o
l'avara	l a v a ɾ a
l'avarizia	l a v a r i ts i a
l'avaro	l a v a r o
l'ave	l a v e
l'avea	l a v ɛ a
l'avean	l a v ɛ a n
l'avei	l a v ɛ i
l'avemaria	l a v e m a r i a
l'avenue	l a v e n ʊ e
l'aver	l a v ɛ r
l'avere	l a v e r e
l'averebbeno	l a v e r e bː ɛ n o
l'averei	l a v e r ɛ i
l'avergli	l a v ɛ r ʎ ɪ
l'averlo	l a v ɛ r l o
l'avermi	l a v ɛ r m ɪ
l'averno	l a v ɛ r n o
l'avess'io	l a v e ss i o
l'avesse	l a v ɛ ss e
l'avessero	l a v e ss e r o
l'avessi	l a v ɛ ss ɪ
l'aveste	l a v ɛ s t e
l'avete	l a v e t e
l'aveva	l a v e v a
l'avevamo	l a v e v a m o
l'avevan	l a v e v a n
l'avevano	l a v e v a n o
l'avevate	l a v e v a t e
l'aveveno	l a v e v ɛ n o
l'avevo	l a v e v o
l'avida	l a v i d a
l'avola	l a v o l a
l'avoleggiare	l a v o l e dʒː a r e
l'avoltero	l a v o l t ɛ r o
l'avoltoio	l a v o l t o j o
l'avorio	l a v ɔ r i o
l'avra	l a v r a
l'avrai	l a v r aː ɪ
l'avranno	l a v r a n n o
l'avrebbe	l a v r ɛ bː e
l'avrebbero	l a v r e bː e r o
l'avrei	l a v r ɛ i
l'avreste	l a v r ɛ s t e
l'avrete	l a v r e t e
l'avria	l a v r i a
l'avrà	l a v r a
l'avrò	l a v r ɔ
l'avveduto	l a v v e d u t o
l'avvelenavano	l a v v e l e n a v a n o
l'avvenimento	l a v v e n i m e n t o
l'avvenir	l a v v e n i r
l'avvenire	l a v v e n i r e
l'avventore	l a v v e n t o r e
l'avventura	l a v v e n t u r a
l'avversario	l a v v e r s a r i o
l'avversione	l a v v e r s j o n e
l'avvertenza	l a v v e r t ɛ n ts a
l'avvertimento	l a v v e r t i m e n t o
l'avvertirono	l a v v e r t i r o n o
l'avvertite	l a v v e r t i t e
l'avvertivano	l a v v e r t i v a n o
l'avverto	l a v v ɛ r t o
l'avvicinavano	l a v v i tʃ i n a v a n o
l'avviciniamo	l a v v i tʃ i n j a m o
l'avvicinò	l a v v i tʃ i n ɔ
l'avvilimento	l a v v i l i m e n t o
l'avvisatore	l a v v i z a t o r e
l'avviso	l a v v i z o
l'avvocatino	l a v v o k a t i n o
l'avvocato	l a v v o k a t o
l'avvolse	l a v v o l s e
l'azione	l a ts i o n e
l'azzurra	l a dzː u r ɾ a
l'azzurro	l a dzː u r ɾ o
l'aèametù	l a ɛ a m e t u
l'aìre	l a i r e
l'e	l eː
l'ebano	l ɛ b a n o
l'ebbe	l ɛ bː e
l'ebbero	l e bː e r o
l'ebbi	l ɛ bː ɪ
l'ebbrezza	l e bː r e tsː a
l'ebraico	l e b r aɪ k o
l'ebreo	l e b r ɛ o
l'ebrietà	l e b r i e t a
l'ecce	l ɛ tʃː e
l'eccellentissimo	l e tʃː e l l e n t i ss i m o
l'eccellenza	l e tʃː e l l ɛ n ts a
l'eccelsa	l e tʃː ɛ l s a
l'eccelso	l e tʃː ɛ l s o
l'eccessiva	l e tʃː e ss i v a
l'eccesso	l e tʃː ɛ ss o
l'eccidio	l e tʃː i d i o
l'echeggiante	l e k e dʒː a n t e
l'eclissi	l e k l i ss ɪ
l'eclittica	l e k l i tː i k a
l'eco	l ɛ k o
l'economia	l e k o n o m i a
l'edera	l e d e r a
l'edificio	l e d i f i tʃ o
l'edifizio	l e d i f i ts i o
l'editore	l e d i t o r e
l'editto	l e d i tː o
l'educazione	l e d ʊ k a ts i o n e
l'eduzione	l e d ʊ ts i o n e
l'efface	l e f f a tʃ e
l'effecto	l e f f e k t o
l'effetto	l e f f ɛ tː o
l'effigie	l e f f i dʒ e
l'egitto	l e dʒ i tː o
l'egoismo	l e ɡ o i z m o
l'egro	l e ɡ r o
l'eguaglianza	l e ɡ w a ʎ a n ts a
l'eguale	l e ɡ w a l e
l'elba	l ɛ l b a
l'elefante	l e l e f a n t e
l'elegante	l e l e ɡ a n t e
l'eleganza	l e l e ɡ a n ts a
l'elemento	l e l e m e n t o
l'elemosina	l e l e m ɔ z i n a
l'elenco	l e l ɛ n k o
l'elephas	l e l e f a s
l'eletto	l e l ɛ tː o
l'elettricità	l e l e tː r i tʃ i t a
l'elevazione	l e l e v a ts i o n e
l'elezione	l e l e ts i o n e
l'ellesponto	l e l l e s p ɔ n t o
l'elmetto	l e l m e tː o
l'elmo	l ɛ l m o
l'elogio	l e l ɔ dʒ o
l'eloquentia	l e l o k w e n t i a
l'elsa	l e l s a
l'emblema	l e m b l ɛ m a
l'emicrania	l e m i k r a n i a
l'emina	l e m i n a
l'eminenza	l e m i n ɛ n ts a
l'emisperio	l e m i s p ɛ r i o
l'emmanuele	l e m m a n ʊ ɛ l e
l'emme	l ɛ m m e
l'emozione	l e m o ts i o n e
l'empia	l e m p i a
l'empiezza	l e m p j e tsː a
l'empio	l e m p i o
l'empireo	l e m p i r e o
l'encomio	l e n k o m i o
l'eneida	l e n ɛ j d a
l'energia	l e n e r dʒ i a
l'enfasi	l ɛ n f a z ɪ
l'enfiagione	l e n f j a dʒ o n e
l'enfiamma	l e n f j a m m a
l'engordo	l e ŋ ɡ ɔ r d o
l'enigmatico	l e n i ɡ m a t i k o
l'enimma	l e n i m m a
l'enorme	l e n o r m e
l'enormità	l e n o r m i t a
l'entrar	l e n t r a r
l'entrata	l e n t r a t a
l'entratina	l e n t r a t i n a
l'entusiasmo	l e n t ʊ z j a z m o
l'enumerazione	l e n ʊ m e r a ts i o n e
l'envio	l e n v i o
l'envita	l e n v i t a
l'epa	l e p a
l'epidemia	l e p i d e m i a
l'epidermide	l e p i d ɛ r m i d e
l'epigrafe	l e p i ɡ r a f e
l'epilogo	l e p i l o ɡ o
l'epistola	l e p i s t o l a
l'epiteto	l e p i t e t o
l'epoca	l ɛ p o k a
l'epopea	l e p o p ɛ a
l'equatore	l e k w a t o r e
l'equilibrio	l e k w i l i b r i o
l'equipaggio	l e k w i p a dʒː o
l'equivoco	l e k w i v o k o
l'era	l ɛ r a
l'erano	l ɛ r a n o
l'eravamo	l e r a v a m o
l'erba	l ɛ r b a
l'erbabianca	l e r b a b j a n k a
l'erbaiola	l e r b a j ɔ l a
l'erbaiuol	l e r b a j u o l
l'erbe	l ɛ r b e
l'erbetta	l e r b e tː a
l'erbette	l e r b e tː e
l'erbivendola	l e r b i v e n d o l a
l'erbuccia	l e r b u tʃː a
l'erede	l e r e d e
l'eredità	l e r e d i t a
l'eremita	l e r e m i t a
l'eremo	l ɛ r e m o
l'eresia	l e r e z i a
l'erezione	l e r e ts i o n e
l'erie	l e r i e
l'erinni	l e r i n n ɪ
l'erma	l ɛ r m a
l'erme	l ɛ r m e
l'ermo	l ɛ r m o
l'ero	l ɛ r o
l'eroe	l e r ɔ e
l'eroico	l e r ɔ i k o
l'eroina	l e r o i n a
l'eroismo	l e r o i z m o
l'errante	l e r ɾ a n t e
l'erre	l ɛ r ɾ e
l'error	l e r ɾ ɔ r
l'errore	l e r ɾ o r e
l'erta	l ɛ r t a
l'erte	l ɛ r t e
l'erto	l ɛ r t o
l'erudito	l e r ʊ d i t o
l'esagerazioni	l e z a dʒ e r a ts i o n ɪ
l'esaltazione	l e z a l t a ts i o n e
l'esame	l e z a m e
l'esaminasse	l e z a m i n a ss e
l'esangui	l e z a ŋ ɡ w ɪ
l'esasperazione	l e z a s p e r a ts i o n e
l'esattore	l e z a tː o r e
l'esaudimento	l e z a ʊ d i m e n t o
l'esaudisca	l e z a ʊ d i s k a
l'esca	l e s k a
l'escandescenza	l e s k a n d e ʃ ɛ n ts a
l'esclamazione	l e s k l a m a ts i o n e
l'esempio	l e z ɛ m p i o
l'esemplare	l e z e m p l a r e
l'esemplo	l e z e m p l o
l'esercitava	l e z e r tʃ i t a v a
l'esercito	l e z ɛ r tʃ i t o
l'esercizio	l e z e r tʃ i ts i o
l'esiglio	l e z i ʎ o
l'esile	l ɛ z i l e
l'esiliante	l e z i l i a n t e
l'esilio	l e z i l i o
l'esilissima	l e z i l i ss i m a
l'esilità	l e z i l i t a
l'esistenza	l e z i s t ɛ n ts a
l'esito	l ɛ z i t o
l'esonero	l e z ɔ n e r o
l'esordio	l e z ɔ r d i o
l'espansione	l e s p a n s j o n e
l'esperienza	l e s p e r i ɛ n ts a
l'esperimento	l e s p e r i m e n t o
l'espiazione	l e s p j a ts i o n e
l'esplorazione	l e s p l o r a ts i o n e
l'esplosione	l e s p l o z i o n e
l'espose	l e s p o z e
l'esposizione	l e s p o z i ts i o n e
l'espressa	l e s p r e ss a
l'espressione	l e s p r e ss j o n e
l'espropriazione	l e s p r o p r i a ts i o n e
l'essalazion	l e ss a l a ts j o n
l'esse	l ɛ ss e
l'essemplare	l e ss e m p l a r e
l'essemplo	l e ss e m p l o
l'essenza	l e ss ɛ n ts a
l'essenziale	l e ss e n ts j a l e
l'esser	l ɛ ss e r
l'esserci	l ɛ ss e r tʃ ɪ
l'essercito	l e ss e r tʃ i t o
l'essere	l ɛ ss e r e
l'essermi	l ɛ ss e r m ɪ
l'est	l ɛ s t
l'estaglio	l e s t a ʎ o
l'estasi	l ɛ s t a z ɪ
l'estate	l e s t a t e
l'estima	l ɛ s t i m a
l'estimava	l e s t i m a v a
l'estinta	l e s t i n t a
l'estirpazione	l e s t i r p a ts i o n e
l'estradizione	l e s t r a d i ts i o n e
l'estrane	l e s t r a n e
l'estraneo	l e s t r a n e o
l'estratto	l e s t r a tː o
l'estrazione	l e s t r a ts i o n e
l'estrema	l e s t r ɛ m a
l'estreme	l e s t r ɛ m e
l'estremitade	l e s t r e m i t a d e
l'estremità	l e s t r e m i t a
l'estremo	l e s t r ɛ m o
l'estro	l ɛ s t r o
l'esuberanza	l e z ʊ b e r a n ts a
l'esultanza	l e z ʊ l t a n ts a
l'eta	l e t a
l'etade	l e t a d e
l'etate	l e t a t e
l'etati	l e t a t ɪ
l'etera	l e t e r a
l'etere	l e t e r e
l'eteree	l e t e r ɛ e
l'eterna	l e t ɛ r n a
l'eternità	l e t e r n i t a
l'eterno	l e t ɛ r n o
l'etico	l ɛ t i k o
l'etiope	l e t i o p e
l'etoile	l e t o i l e
l'etra	l ɛ t r a
l'etterna	l e tː ɛ r n a
l'etterne	l e tː ɛ r n e
l'etterno	l e tː ɛ r n o
l'età	l e t a
l'euforbia	l e ʊ f ɔ r b i a
l'euritmia	l e ʊ r i t m i a
l'europa	l e ʊ r ɔ p a
l'evanescente	l e v a n e ʃ ɛ n t e
l'evangelica	l e v a n dʒ ɛ l i k a
l'evangelio	l e v a n dʒ ɛ l i o
l'evidente	l e v i d ɛ n t e
l'evidenza	l e v i d ɛ n ts a
l'evviva	l e v v i v a
l'ex	l ɛ k s
l'ex-sindaco	l ɛ k s s i n d a k o
l'exempio	l e k s e m p i o
l'exilio	l e k s i l i o
l'extreme	l e k s t r ɛ m e
l'extremo	l e k s t r ɛ m o
l'ha	l a
l'habito	l h a b i t o
l'hai	l a j
l'hammerfest	l h a m m e r f e s t
l'han	l a n
l'hanno	l a n n o
l'hidalgo	l i d a l ɡ o
l'ho	l ɔ
l'homme	l ɔ m m e
l'homo	l o m o
l'htel	ɛ l l e t ɛ l
l'hudson	l u d s o n
l'hugo	l u ɡ o
l'humor	l ʊ m ɔ r
l'i	l i
l'ibaldone	l i b a l d o n e
l'icaria	l i k a r i a
l'ichiede	l i k j e d e
l'idea	l i d ɛ a
l'ideale	l i d e a l e
l'idealità	l i d e a l i t a
l'ideguccia	l i d e ɡ u tʃː a
l'ideina	l i d e i n a
l'identica	l i d ɛ n t i k a
l'identità	l i d e n t i t a
l'idillio	l i d i l l i o
l'idioma	l i d j ɔ m a
l'idol	l i d o l
l'idolatre	l i d o l a t r e
l'idolo	l i d o l o
l'idra	l i d r a
l'idrogeno	l i d r ɔ dʒ e n o
l'idropico	l i d r ɔ p i k o
l'igiene	l i dʒ ɛ n e
l'ignominia	l i ɲ o m i n i a
l'ignorante	l i ɲ o r a n t e
l'ignoranza	l i ɲ o r a n ts a
l'ignoranzia	l i ɲ o r a n ts i a
l'ignota	l i ɲ ɔ t a
l'ignoto	l i ɲ ɔ t o
l'ignuda	l i ɲ u d a
l'ignudo	l i ɲ u d o
l'ilare	l i l a r e
l'ilarità	l i l a r i t a
l'iliade	l i l iː a d e
l'illuminazione	l i l l ʊ m i n a ts i o n e
l'illusione	l i l l ʊ z i o n e
l'illustrazione	l i l l ʊ s t r a ts i o n e
l'illustre	l i l l u s t r e
l'illustrissimo	l i l l ʊ s t r i ss i m o
l'ima	l i m a
l'image	l i m a dʒ e
l'imaginar	l i m a dʒ i n a r
l'imagine	l i m a dʒ i n e
l'imagini	l i m a dʒ i n ɪ
l'imago	l i m a ɡ o
l'imbarazzo	l i m b a ɾ a tsː o
l'imbarco	l i m b a r k o
l'imbasciata	l i m b a ʃ a t a
l'imbeccata	l i m b e kː a t a
l'imbecillità	l i m b e tʃ i l l i t a
l'imbianchino	l i m b j a n k i n o
l'imbottitura	l i m b o tː i t u r a
l'imbroglio	l i m b r ɔ ʎ o
l'imbroglione	l i m b r o ʎ o n e
l'imbrunire	l i m b r ʊ n i r e
l'imbrò	l i m b r ɔ
l'immagin	l i m m a dʒ i n
l'immagina	l i m m a dʒ i n a
l'immaginavo	l i m m a dʒ i n a v o
l'immaginazione	l i m m a dʒ i n a ts i o n e
l'immagine	l i m m a dʒ i n e
l'immagino	l i m m a dʒ i n o
l'immane	l i m m a n e
l'immensa	l i m m ɛ n s a
l'immenso	l i m m ɛ n s o
l'imminente	l i m m i n ɛ n t e
l'imminenza	l i m m i n ɛ n ts a
l'immobilità	l i m m o b i l i t a
l'immondizia	l i m m o n d i ts i a
l'immondo	l i m m o n d o
l'immortal	l i m m ɔ r t a l
l'immortale	l i m m o r t a l e
l'immortalità	l i m m o r t a l i t a
l'immutato	l i m m ʊ t a t o
l'imo	l i m o
l'impaccio	l i m p a tʃː o
l'impalcato	l i m p a l k a t o
l'impalcatura	l i m p a l k a t u r a
l'imparai	l i m p a r aː ɪ
l'imparasse	l i m p a ɾ a ss e
l'impareggiabile	l i m p a r e dʒː a b i l e
l'impassibilità	l i m p a ss i b i l i t a
l'impasto	l i m p a s t o
l'impaziente	l i m p a ts i ɛ n t e
l'impazienza	l i m p a ts j ɛ n ts a
l'impedimento	l i m p e d i m e n t o
l'impegno	l i m p e ɲ ɲ o
l'impegola	l i m p e ɡ ɔ l a
l'imperatore	l i m p e r a t o r e
l'imperio	l i m p ɛ r i o
l'impero	l i m p ɛ r o
l'impertinente	l i m p e r t i n ɛ n t e
l'impeto	l i m p e t o
l'impetrare	l i m p e t r a r e
l'impetuosa	l i m p e t ʊ o z a
l'impiantito	l i m p j a n t i t o
l'impianto	l i m p j a n t o
l'impiccata	l i m p i kː a t a
l'impiccato	l i m p i kː a t o
l'impicchi	l i m p i kː ɪ
l'impiccio	l i m p i tʃː o
l'impiegatessa	l i m p j e ɡ a t e ss a
l'impiegato	l i m p j e ɡ a t o
l'impiegatuccio	l i m p j e ɡ a t u tʃː o
l'impiego	l i m p j ɛ ɡ o
l'importante	l i m p o r t a n t e
l'importanza	l i m p o r t a n ts a
l'importo	l i m p ɔ r t o
l'importuno	l i m p o r t u n o
l'impose	l i m p o z e
l'imposizione	l i m p o z i ts i o n e
l'impossibile	l i m p o ss i b i l e
l'imposta	l i m p ɔ s t a
l'impotenza	l i m p o t ɛ n ts a
l'imprecazione	l i m p r e k a ts i o n e
l'impresa	l i m p r e z a
l'impresario	l i m p r e z a r i o
l'imprese	l i m p r e z e
l'impression	l i m p r e ss j o n
l'impressione	l i m p r e ss j o n e
l'improba	l i m p r o b a
l'impronta	l i m p r o n t a
l'improvvisa	l i m p r o v v i z a
l'improvviso	l i m p r o v v i z o
l'imprudenza	l i m p r ʊ d ɛ n ts a
l'impudenza	l i m p ʊ d ɛ n ts a
l'impugnatura	l i m p ʊ ɲ a t u r a
l'impulso	l i m p u l s o
l'imputato	l i m p ʊ t a t o
l'imputazione	l i m p ʊ t a ts i o n e
l'inaspettato	l i n a s p e tː a t o
l'inaugurazione	l i n a ʊ ɡ ʊ r a ts i o n e
l'incalzan	l i n k a l ts a n
l'incantesimo	l i n k a n t ɛ z i m o
l'incanto	l i n k a n t o
l'incapacità	l i n k a p a tʃ i t a
l'incaricato	l i n k a r i k a t o
l'incarico	l i n k a r i k o
l'incarnazione	l i n k a r n a ts i o n e
l'incartamento	l i n k a r t a m e n t o
l'incasso	l i n k a ss o
l'incendio	l i n tʃ e n d i o
l'incenso	l i n tʃ ɛ n s o
l'incentivo	l i n tʃ e n t i v o
l'incertezza	l i n tʃ e r t e tsː a
l'incerto	l i n tʃ ɛ r t o
l'incessante	l i n tʃ e ss a n t e
l'inchiesta	l i n k j ɛ s t a
l'inchino	l i n k i n o
l'inchiodava	l i n k j o d a v a
l'inchiostro	l i n k j ɔ s t r o
l'incidente	l i n tʃ i d ɛ n t e
l'incinta	l i n tʃ i n t a
l'incischi	l i n tʃ i s k ɪ
l'incitava	l i n tʃ i t a v a
l'inclinazione	l i n k l i n a ts i o n e
l'inclita	l i n k l i t a
l'incognito	l i n k ɔ ɲ i t o
l'incombente	l i n k o m b ɛ n t e
l'incominciato	l i n k o m i n tʃ a t o
l'incomodo	l i n k ɔ m o d o
l'incomprensione	l i n k o m p r e n s j o n e
l'inconcludente	l i n k o n k l ʊ d ɛ n t e
l'inconsolabile	l i n k o n s o l a b i l e
l'inconsunta	l i n k o n s u n t a
l'incontinenza	l i n k o n t i n ɛ n ts a
l'incontrava	l i n k o n t r a v a
l'incontrerò	l i n k o n t r e ɾ ɔ
l'incontro	l i n k o n t r o
l'incora	l i n k ɔ r a
l'incoscienza	l i n k o ʃ ɛ n ts a
l'incredibile	l i n k r e d i b i l e
l'incrociarsi	l i n k r o tʃ a r s ɪ
l'incubo	l i n k ʊ b o
l'incudine	l i n k u d i n e
l'incuria	l i n k u r i a
l'indaco	l i n d a k o
l'indagine	l i n d a dʒ i n e
l'indefinibile	l i n d e f i n i b i l e
l'indegna	l i n d e ɲ ɲ a
l'indegno	l i n d e ɲ ɲ o
l'indelicatezza	l i n d e l i k a t e tsː a
l'indi	l i n d ɪ
l'india	l i n d i a
l'indiano	l i n d j a n o
l'indicazione	l i n d i k a ts i o n e
l'indice	l i n d i tʃ e
l'indico	l i n d i k o
l'indifferente	l i n d i f f e r ɛ n t e
l'indifferenza	l i n d i f f e r ɛ n ts a
l'indignazione	l i n d i ɲ a ts i o n e
l'indipendenza	l i n d i p e n d ɛ n ts a
l'indirizzo	l i n d i r i tsː o
l'indispettiva	l i n d i s p e tː i v a
l'indizio	l i ŋ d iː ts j o
l'indocile	l i n d ɔ tʃ i l e
l'indole	l i n d o l e
l'indomani	l i n d o m a n ɪ
l'indomito	l i n d ɔ m i t o
l'indovina	l i n d o v i n a
l'indovinano	l i n d o v i n a n o
l'indovinare	l i n d o v i n a r e
l'indovinello	l i n d o v i n ɛ l l o
l'indovinò	l i n d o v i n ɔ
l'indulgenza	l i n d ʊ l dʒ ɛ n ts a
l'indurato	l i n d ʊ r a t o
l'industria	l i n d u s t r i a
l'induzione	l i n d ʊ ts i o n e
l'ineffabile	l i n e f f a b i l e
l'inerte	l i n ɛ r t e
l'inesauribile	l i n e z a ʊ r i b i l e
l'inetta	l i n ɛ tː a
l'infame	l i n f a m e
l'infamia	l i n f a m i a
l'infamità	l i n f a m i t a
l'infante	l i n f a n t e
l'infanzia	l i n f a n ts i a
l'infastidissero	l i n f a s t i d i ss e ɾ o
l'infausta	l i n f a ʊ s t a
l'infausto	l i n f a ʊ s t o
l'infelice	l i n f e l i tʃ e
l'infelicissima	l i n f e l i tʃ i ss i m a
l'infelicità	l i n f e l i tʃ i t a
l'inferiore	l i n f e r i o r e
l'inferma	l i n f e r m a
l'infermiera	l i n f e r m i ɛ r a
l'infermiere	l i n f e r m i ɛ r e
l'infermità	l i n f e r m i t a
l'infermo	l i n f e r m o
l'infernale	l i n f e r n a l e
l'infernali	l i n f e r n a l ɪ
l'inferno	l i n f ɛ r n o
l'inferriata	l i n f e r ɾ i a t a
l'infiammata	l i n f j a m m a t a
l'infiammato	l i n f j a m m a t o
l'infiammazione	l i n f j a m m a ts i o n e
l'infima	l i n f i m a
l'infimo	l i n f i m o
l'infinita	l i n f i n i t a
l'infinito	l i n f i n i t o
l'inflessibile	l i n f l e ss i b i l e
l'inflessione	l i n f l e ss j o n e
l'influenza	l i n f l ʊ ɛ n ts a
l'inganna	l i ŋ ɡ a n n a
l'inganno	l i ŋ ɡ a n n o
l'ingegner	l i n dʒ e ɲ ɛ r
l'ingegnere	l i n dʒ e ɲ ɛ r e
l'ingegni	l i n dʒ e ɲ ɲ ɪ
l'ingegno	l i n dʒ e ɲ ɲ o
l'ingenioso	l i n dʒ e n j o z o
l'ingenita	l i n dʒ e n i t a
l'ingente	l i n dʒ ɛ n t e
l'ingenua	l i n dʒ ɛ n ʊ a
l'ingenuità	l i n dʒ e n ʊ i t a
l'ingenuo	l i n dʒ ɛ n ʊ o
l'inghilese	l i ŋ ɡ i l e z e
l'inghilterra	l i ŋ ɡ i l t ɛ r ɾ a
l'inghiotte	l i ŋ ɡ j ɔ tː e
l'inghiotto	l i ŋ ɡ j ɔ tː o
l'inghirlandava	l i ŋ ɡ i r l a n d a v a
l'ingiuria	l i n dʒ u r i a
l'ingiurie	l i n dʒ u r i e
l'ingiuriose	l i n dʒ ʊ r i ɔ z e
l'ingiustizia	l i n dʒ ʊ s t i ts i a
l'ingiusto	l i n dʒ u s t o
l'inglese	l i ŋ ɡ l e z e
l'inglesina	l i ŋ ɡ l e z i n a
l'ingombro	l i ŋ ɡ o m b r o
l'ingorda	l i ŋ ɡ ɔ r d a
l'ingordigia	l i ŋ ɡ o r d i dʒ a
l'ingrandimento	l i ŋ ɡ r a n d i m e n t o
l'ingrassare	l i ŋ ɡ r a ss a r e
l'ingrata	l i ŋ ɡ r a t a
l'ingratitudine	l i ŋ ɡ r a t i t u d i n e
l'ingrato	l i ŋ ɡ r a t o
l'ingresso	l i ŋ ɡ r ɛ ss o
l'inimicizia	l i n i m i tʃ i ts i a
l'iniquità	l i n i k w i t a
l'innamoramento	l i n n a m o r a m e n t o
l'innamorata	l i n n a m o r a t a
l'innamorato	l i n n a m o r a t o
l'innanzi	l i n n a n ts ɪ
l'inno	l i n n o
l'innocente	l i n n o tʃ ɛ n t e
l'innocenti	l i n n o tʃ ɛ n t ɪ
l'innocenza	l i n n o tʃ ɛ n ts a
l'innocuo	l i n n ɔ k ʊ o
l'innumerevole	l i n n ʊ m e r e v o l e
l'inopinato	l i n o p i n a t o
l'inqualificabile	l i n k w a l i f i k a b i l e
l'inquieta	l i n k w j ɛ t a
l'inquieto	l i n k w j ɛ t o
l'inquietudine	l i n k w j e t u d i n e
l'inquilino	l i n k w i l i n o
l'insalata	l i n s a l a t a
l'insalatina	l i n s a l a t i n a
l'insana	l i n s a n a
l'insano	l i n s a n o
l'insegna	l i n s e ɲ ɲ a
l'insegnamento	l i n s e ɲ a m e n t o
l'insenatura	l i n s e n a t u r a
l'inserviente	l i n s e r v i ɛ n t e
l'insetto	l i n s ɛ tː o
l'insidia	l i n s i d i a
l'insieme	l i n s ɪ ɛ m e
l'insistenza	l i n s i s t ɛ n ts a
l'insolente	l i n s o l ɛ n t e
l'insolenza	l i n s o l ɛ n ts a
l'insolita	l i n s ɔ l i t a
l'insolito	l i n s ɔ l i t o
l'insonnia	l i n s ɔ n n i a
l'inspiri	l i n s p i r ɪ
l'insufficienza	l i n s ʊ f f i tʃ ɛ n ts a
l'insultano	l i n s u l t a n o
l'insulto	l i n s u l t o
l'insuperabile	l i n s ʊ p e r a b i l e
l'intellecto	l i n t e l l e k t o
l'intelletto	l i n t e l l e tː o
l'intelligenza	l i n t e l l i dʒ ɛ n ts a
l'intenda	l i n t ɛ n d a
l'intende	l i n t ɛ n d e
l'intenderei	l i n t e n d e r ɛ i
l'intendesse	l i n t e n d ɛ ss e
l'intendete	l i n t e n d e t e
l'intendeva	l i n t e n d ɛ v a
l'intendevano	l i n t e n d e v a n o
l'intendi	l i n t ɛ n d ɪ
l'intendiamo	l i n t e n d j a m o
l'intendimento	l i n t e n d i m e n t o
l'intendono	l i n t e n d o n o
l'intensità	l i n t e n s i t a
l'intento	l i n t ɛ n t o
l'intenzion	l i n t e n ts j o n
l'intenzione	l i n t e n ts i o n e
l'intera	l i n t ɛ r a
l'intercalare	l i n t e r k a l a r e
l'interdizione	l i n t e r d i ts i o n e
l'interessante	l i n t e r e ss a n t e
l'interesse	l i n t e r ɛ ss e
l'interlocutore	l i n t e r l o k ʊ t o r e
l'intermediario	l i n t e r m e d j a r i o
l'interminabile	l i n t e r m i n a b i l e
l'intermittenza	l i n t e r m i tː ɛ n ts a
l'interna	l i n t ɛ r n a
l'internazionale	l i n t e r n a ts i o n a l e
l'interno	l i n t ɛ r n o
l'intero	l i n t ɛ r o
l'interpretava	l i n t e r p r e t a v a
l'interpretazione	l i n t e r p r e t a ts i o n e
l'interprete	l i n t ɛ r p r e t e
l'interpretorono	l i n t e r p r e t ɔ r o n o
l'interroga	l i n t ɛ r ɾ o ɡ a
