а	ɑ
окончательную	ʌ k ʌ n tʃʲ ɑ tʲ i ɭ n u ju
окончательный	ʌ k ʌ n tʃʲ ɑ tʲ i ɭ n y j
окончательным	ʌ k ʌ n tʃʲ ɑ tʲ i ɭ n y m
окончена	ʌ k o n tʃʲ i n a
оконченный	ʌ k ʌ n tʃʲ e n n y j
окончив	ʌ k o n tʃʲ i f
окончивший	ʌ k o n tʃʲ i f ʃ y j
окончил	ʌ k o n tʃʲ i ɭ
окончила	ʌ k o n tʃʲ i ɭ a
окончилась	ʌ k o n tʃʲ i ɭ ʌ sʲ
окончили	ʌ k o n tʃʲ i ɭʲ ɪ
окончилось	ʌ k o n tʃʲ i ɭ ʌ sʲ
окончит	ʌ k o n tʃʲ i t
окончить	ʌ k o n tʃʲ i tʲ
окончишь	ʌ k o n tʃʲ i ʃ
окончу	ʌ k o n tʃʲ u
окопались	ʌ k ʌ p ɑ ɭʲ i sʲ
окопами	ʌ k o p ʌ mʲ ɪ
окопе	ʌ k o pʲ i
окопов	ʌ k o p ʌ f
окопчик	ʌ k o p tʃʲ i k
окопчике	ʌ k o p tʃʲ i kʲ i
окопчики	ʌ k o p tʃʲ i kʲ ɪ
окопы	ʌ k o p y
окорока	ʌ k o r ʌ k a
окороком	o k ʌ r ʌ k ʌ m
окороку	o k ʌ r ʌ k u
окоченевшей	ʌ k ʌ tʃʲ i nʲ e f ʃ y j
окоченелость	ʌ k ʌ tʃʲ e nʲ i ɭ ʌ s tʲ
окошек	ʌ k o ʃ y k
окошечка	ʌ k o ʃ y tʃʲ k a
окошечко	ʌ k o ʃ y tʃʲ k ʌ
окошка	ʌ k o ʃ k a
окошками	ʌ k o ʃ k ʌ mʲ ɪ
окошке	ʌ k o ʃ kʲ i
окошко	ʌ k o ʃ k ʌ
окошком	ʌ k o ʃ k ʌ m
окраин	ʌ k r ɑ i n
окраина	ʌ k r ɑ i n a
окраинах	ʌ k r ɑ i n ʌ x
окраине	ʌ k r ɑ i nʲ i
окраину	ʌ k r ɑ i n u
окраины	ʌ k r ɑ i n y
окрасил	ʌ k r ɑ sʲ i ɭ
окрасила	ʌ k r ɑ sʲ i ɭ a
окрасились	ʌ k r ɑ sʲ i ɭʲ i sʲ
окрасить	ʌ k r ɑ sʲ i tʲ
окраска	ʌ k r ɑ s k a
окраске	ʌ k r ɑ s kʲ i
окраски	ʌ k r ɑ s kʲ ɪ
окраску	ʌ k r ɑ s k u
окрасок	ʌ k r ɑ s ʌ k
окрашена	ʌ k r ɑ ʃ y n a
окрашенному	ʌ k r ɑ ʃ y n n ʌ m u
окрашенностью	ʌ k r a ʃ ɛ n n ʌ s tʲ j ju
окрашено	ʌ k r ɑ ʃ y n ʌ
окрашены	ʌ k r ɑ ʃ y n y
окрашивает	ʌ k r ɑ ʃ y v ʌ j i t
окрашивались	ʌ k r ɑ ʃ y v ʌ ɭʲ i sʲ
окрепла	ʌ k rʲ e p ɭ a
окрест	ʌ k rʲ e s t
окрестил	ʌ k rʲ i sʲ tʲ i ɭ
окрестили	ʌ k rʲ i sʲ tʲ i ɭʲ ɪ
окрестился	ʌ k rʲ e sʲ tʲ i ɭ sʲ ʌ
окрестить	ʌ k rʲ i sʲ tʲ i tʲ
окрестности	ʌ k rʲ e s t n ʌ sʲ tʲ ɪ
окрестность	ʌ k rʲ e s t n ʌ s tʲ
окрестностям	ʌ k rʲ e s t n ʌ sʲ tʲ ʌ m
окрестностях	ʌ k rʲ e s t n ʌ sʲ tʲ ʌ x
окрестную	ʌ k rʲ e s t n u ju
окрестные	ʌ k rʲ e s t n y j ɪ
окрестных	ʌ k rʲ e s t n y x
окрещен	ʌ k rʲ e ɕ i n
окрещусь	ʌ k rʲ e ɕ u sʲ
окрик	o k rʲ i k
окрика	o k rʲ i k a
окриков	o k rʲ i k ʌ f
окрику	o k rʲ i k u
окриленный	ʌ k rʲ i ɭʲ e n n y j
окровавленная	ʌ k r ʌ v ɑ v ɭʲ i n n ʌ ja
окровавленного	ʌ k r ʌ v ɑ v ɭʲ i n n ʌ v ʌ
окровавленное	ʌ k r ʌ v ɑ v ɭʲ i n n ʌ j ɪ
окровавленной	ʌ k r ʌ v ɑ v ɭʲ i n n ʌ j
окровавленные	ʌ k r ʌ v ɑ v ɭʲ i n n y j ɪ
окровавленный	ʌ k r ʌ v ɑ v ɭʲ i n n y j
окровавленным	ʌ k r ʌ v ɑ v ɭʲ i n n y m
окровавленными	ʌ k r ʌ v ɑ v ɭʲ i n n y mʲ ɪ
окровавленных	ʌ k r ʌ v ɑ v ɭʲ i n n y x
окровения	ʌ k r ʌ vʲ e nʲ i ja
окроме	ʌ k r o mʲ i
окропление	ʌ k r ʌ p ɭʲ e nʲ i j ɪ
окроплю	ʌ k r o p ɭʲ u"
окроплявший	ʌ k r ʌ p ɭʲ ɑ f ʃ y j
округ	o k r u k
округа	ʌ k r u ɡ a
округе	ʌ k r u ɡʲ i
округлена	ʌ k r u ɡ ɭʲ i n a
округлил	ʌ k r u ɡ ɭʲ i ɭ
округло	ʌ k r u ɡ ɭ ʌ
округов	ʌ k r u ɡ o f
округом	o k r u ɡ ʌ m
окружавшею	ʌ k r u ʒ ɑ f ʃ y ju
окружавшие	ʌ k r u ʒ ɑ f ʃ y j ɪ
окружавшим	ʌ k r u ʒ ɑ f ʃ y m
окружавшими	ʌ k r u ʒ ɑ f ʃ y mʲ ɪ
окружавших	ʌ k r u ʒ ɑ f ʃ y x
окружает	ʌ k r u ʒ ɑ j i t
окружал	ʌ k r u ʒ ɑ ɭ
окружала	ʌ k r u ʒ ɑ ɭ a
окружали	ʌ k r u ʒ ɑ ɭʲ ɪ
окружало	ʌ k r u ʒ ɑ ɭ ʌ
окружась	ʌ k r u ʒ ʌ sʲ
окружать	ʌ k r u ʒ ɑ tʲ
окружают	ʌ k r u ʒ ɑ ju t
окружающая	ʌ k r u ʒ ɑ ju ɕ ʌ ja
окружающего	ʌ k r u ʒ ɑ ju ɕ i v ʌ
окружающее	ʌ k r u ʒ ɑ ju ɕ i j ɪ
окружающей	ʌ k r u ʒ ɑ ju ɕ i j
окружающем	ʌ k r u ʒ ɑ ju ɕ i m
окружающие	ʌ k r u ʒ ɑ ju ɕ i j ɪ
окружающий	ʌ k r u ʒ ɑ ju ɕ i j
окружающим	ʌ k r u ʒ ɑ ju ɕ i m
окружающих	ʌ k r u ʒ ɑ ju ɕ i x
окружающую	ʌ k r u ʒ ɑ ju ɕ u ju
окружен	ʌ k r u ʒ ɛ n
окружена	ʌ k r u ʒ y n ɑ
окружение	ʌ k r u ʒ ɛ nʲ i j ɪ
окружении	ʌ k r u ʒ ɛ nʲ i ɪ
окруженная	ʌ k r u ʒ ɛ n n ʌ ja
окруженного	ʌ k r u ʒ ɛ n n ʌ v ʌ
окруженном	ʌ k r u ʒ ɛ n n ʌ m
окруженную	ʌ k r u ʒ ɛ n n u ju
окруженный	ʌ k r u ʒ ɛ n n y j
окруженным	ʌ k r u ʒ ɛ n n y m
окружено	ʌ k r u ʒ y n o
окружены	ʌ k r u ʒ y n y
окружив	ʌ k r u ʒ y f
окружил	ʌ k r u ʒ y ɭ
окружила	ʌ k r u ʒ y ɭ a
окружили	ʌ k r u ʒ y ɭʲ ɪ
окружило	ʌ k r u ʒ y ɭ ʌ
окружит	ʌ k r u ʒ y t
окружность	ʌ k r u ʒ n ʌ s tʲ
окружных	ʌ k r u ʒ n y x
окрыленно	ʌ k r y ɭʲ e n n ʌ
окрыленные	ʌ k r y ɭʲ e n n y j ɪ
окрылил	ʌ k r y ɭʲ i ɭ
окрылился	ʌ k r y ɭʲ i ɭ sʲ ʌ
окрыляет	ʌ k r y ɭʲ ɑ j i t
октав	ʌ k t ɑ f
октаву	ʌ k t ɑ v u
октябристов	ʌ k tʲ a b rʲ i s t ʌ f
октябристы	ʌ k tʲ ɑ b rʲ i s t y
октябрь	ʌ k tʲ ɑ b r ɪ^
октября	ʌ k tʲ a b rʲ ɑ
окуни	ʌ k u nʲ ɪ
окунулся	ʌ k u n u ɭ sʲ ʌ
окунутся	ʌ k u n u tʲ sʲ ʌ
окунуться	ʌ k u n u tʲ sʲ ʌ
окунь	o k u n
окуня	o k u nʲ ʌ
окупилась	ʌ k u pʲ i ɭ ʌ sʲ
окупится	ʌ k u pʲ i ts ʌ
окупятся	ʌ k u pʲ ʌ ts ʌ
окутавший	ʌ k u t ʌ f ʃ y j
окутал	ʌ k u t ʌ ɭ
окуталась	ʌ k u t ʌ ɭ ʌ sʲ
окутали	ʌ k u t ʌ ɭʲ ɪ
окутанное	ʌ k u t ʌ n n ʌ j ɪ
окутанную	ʌ k u t ʌ n n u ju
окутанный	ʌ k u t ʌ n n y j
окутано	ʌ k u t ʌ n ʌ
окутывает	ʌ k u t y v ʌ j i t
окутывал	ʌ k u t y v ʌ ɭ
оле	o ɭʲ i
олегов	ʌ ɭʲ e ɡ ʌ f
оледенелый	ʌ ɭʲ i dʲ e nʲ i ɭ y j
оледенила	ʌ ɭʲ i dʲ i nʲ i ɭ a
олене	ʌ ɭʲ e nʲ i
оленей	ʌ ɭʲ e nʲ i j
олени	ʌ ɭʲ e nʲ ɪ
олень	ʌ ɭʲ e n
оленьей	ʌ ɭʲ e n j j i j
оленьи	ʌ ɭʲ e n j ɪ
оленьим	ʌ ɭʲ e n j i m
оленьими	ʌ ɭʲ e n j i mʲ ɪ
оленька	o ɭʲ i n k a
оленькин	ʌ ɭʲ e n kʲ i n
оленьку	o ɭʲ i n k u
оленью	ʌ ɭʲ e n j ju
оленя	ʌ ɭʲ e nʲ ʌ
оленях	ʌ ɭʲ e nʲ ʌ x
олеографию	ʌ ɭʲ i ʌ ɡ r ɑ fʲ i ju
олеография	ʌ ɭʲ i ʌ ɡ r ɑ fʲ i ja
олеографиями	ʌ ɭʲ i ʌ ɡ r ɑ fʲ i ja mʲ ɪ
олесовой	ʌ ɭʲ i s o v ʌ j
олешки	ʌ ɭʲ e ʃ kʲ ɪ
олешков	ʌ ɭʲ e ʃ k ʌ f
оли	o ɭʲ ɪ
оливка	ʌ ɭʲ i f k a
оливковым	ʌ ɭʲ i f k ʌ v y m
олигархических	ʌ ɭʲ i ɡ a r x i tʃʲ i s kʲ i x
олимп	ʌ ɭʲ i m p
олимпа	ʌ ɭʲ i m p a
олимпиаду	ʌ ɭʲ i mʲ pʲ i ɑ d u
олимпиады	ʌ ɭʲ i mʲ pʲ i ɑ d y
олимпийская	ʌ ɭʲ i mʲ pʲ i j s k ʌ ja
олимпийские	ʌ ɭʲ i mʲ pʲ i j s kʲ i j ɪ
олимпийским	ʌ ɭʲ i mʲ pʲ i j s kʲ i m
олимпийских	ʌ ɭʲ i mʲ pʲ i j s kʲ i x
олимпийского	ʌ ɭʲ i mʲ pʲ i j s k ʌ v ʌ
олицетворена	ʌ ɭʲ i ts ɛ t v ʌ rʲ i n a
олицетворение	ʌ ɭʲ i ts y t v ʌ rʲ e nʲ i j ɪ
олицетворения	ʌ ɭʲ i ts y t v ʌ rʲ e nʲ i ja
олицетворенной	ʌ ɭʲ i ts y t v o rʲ i n n ʌ j
олицетворенный	ʌ ɭʲ i ts y t v ʌ rʲ e n n y j
олицетворить	ʌ ɭʲ i ts ɛ t v ʌ rʲ i tʲ
олицетворяемые	ʌ ɭʲ i ts y t v ʌ rʲ ɑ j i m y j ɪ
олицетворяет	ʌ ɭʲ i ts y t v ʌ rʲ ɑ j i t
олицетворяющего	ʌ ɭʲ i ts y t v ʌ rʲ ɑ ju ɕ i v ʌ
олоферн	ʌ ɭ o fʲ i r n
олухами	ʌ ɭ u x ʌ mʲ ɪ
ольга	o ɭ ɡ a
ольге	o ɭ ɡʲ i
ольги	o ɭ ɡʲ ɪ
ольгин	o ɭ ɡʲ i n
ольгиной	ʌ ɭ ɡʲ i n ʌ j
ольгинской	ʌ ɭ ɡʲ i n s k ʌ j
ольгой	o ɭ ɡ ʌ j
ольгою	ʌ ɭ ɡ o ju
ольгу	o ɭ ɡ u
омега	ʌ mʲ e ɡ a
омегой	ʌ mʲ e ɡ ʌ j
омегу	ʌ mʲ e ɡ u
омерзением	ʌ mʲ i r ʑ e nʲ i j i m
омерзительно	ʌ mʲ i r ʑ i tʲ i ɭ n ʌ
омертвения	ʌ mʲ i r t vʲ e nʲ i ja
омочи	ʌ m o tʃʲ ɪ
омрачаемая	ʌ m r a tʃʲ ɑ j i m ʌ ja
омрачая	ʌ m r a tʃʲ ɑ ja
омраченный	ʌ m r a tʃʲ e n n y j
омраченным	ʌ m r a tʃʲ e n n y m
омраченных	ʌ m r a tʃʲ e n n y x
омрачены	ʌ m r ɑ tʃʲ i n y
омрачить	ʌ m r a tʃʲ i tʲ
омрачиться	ʌ m r ɑ tʃʲ i tʲ sʲ ʌ
омут	o m u t
омута	o m u t a
омуте	o m u tʲ i
омывал	ʌ m y v ɑ ɭ
омыта	ʌ m y t a
омыто	ʌ m y t ʌ
омыть	ʌ m y tʲ
он	o n
она	ʌ n ɑ
онаде	ʌ n ɑ dʲ i
онанизм	ʌ n a nʲ i z m
ондержит	ʌ n dʲ i r ʒ y t
ондрей	o n d rʲ i j
оне	o nʲ i
онегин	ʌ nʲ e ɡʲ i n
онегина	ʌ nʲ e ɡʲ i n a
онегине	ʌ nʲ e ɡʲ i nʲ i
онегину	ʌ nʲ e ɡʲ i n u
онегиным	ʌ nʲ i ɡʲ i n y m
онемев	ʌ nʲ i mʲ e f
онемевшую	ʌ nʲ i mʲ e f ʃ u ju
онемеет	ʌ nʲ i mʲ e j i t
онемел	ʌ nʲ i mʲ e ɭ
онемели	ʌ nʲ i mʲ e ɭʲ ɪ
онемение	ʌ nʲ i mʲ e nʲ i j ɪ
онемечения	ʌ nʲ i mʲ e tʃʲ i nʲ i ja
онемеченные	ʌ nʲ i mʲ e tʃʲ i n n y j ɪ
онемеченных	ʌ nʲ i mʲ e tʃʲ i n n y x
они	ʌ nʲ i
онивсе	ʌ nʲ i f sʲ i
онито	ʌ nʲ i t ʌ
оно	o n ʌ
оного	o n ʌ v ʌ
оной	o n ʌ j
онто	o n t ʌ
онтологизма	ʌ n t ʌ ɭ o ɡʲ i z m a
онтологии	ʌ n t ʌ ɭ o ɡʲ i ɪ
онтологическими	ʌ n t ʌ ɭ ʌ ɡʲ i tʃʲ i s kʲ i mʲ ɪ
онтологическому	ʌ n t ʌ ɭ ʌ ɡʲ i tʃʲ i s k ʌ m u
онучи	ʌ n u tʃʲ ɪ
оную	o n u ju
оны	o n y
оный	o n y j
оных	o n y x
оо	o ʌ
ооо	ʌ o ʌ
ооой	ʌ o ʌ j
ооох	ʌ o ʌ x
оох	o ʌ x
оп	o p
опаздывали	ʌ p ɑ z d y v ʌ ɭʲ ɪ
опала	ʌ p ɑ ɭ a
опале	ʌ p ɑ ɭʲ i
опалена	ʌ p ʌ ɭʲ i n ɑ
опаленной	ʌ p a ɭʲ e n n ʌ j
опаленными	ʌ p a ɭʲ e n n y mʲ ɪ
опалить	ʌ p a ɭʲ i tʲ
опалу	ʌ p ɑ ɭ u
опальная	ʌ p ɑ ɭ n ʌ ja
опальную	ʌ p ɑ ɭ n u ju
опальные	ʌ p ɑ ɭ n y j ɪ
опаляет	ʌ p a ɭʲ ɑ j i t
опамятовался	ʌ p ɑ mʲ ʌ t ʌ v ʌ ɭ sʲ ʌ
опасаетесь	ʌ p a s ɑ j i tʲ i sʲ
опасалась	ʌ p a s ɑ ɭ ʌ sʲ
опасались	ʌ p a s ɑ ɭʲ i sʲ
опасался	ʌ p a s ɑ ɭ sʲ ʌ
опасаться	ʌ p a s ɑ tʲ sʲ ʌ
опасаясь	ʌ p a s ɑ ja sʲ
опасен	ʌ p ɑ sʲ i n
опасение	ʌ p a sʲ e nʲ i j ɪ
опасений	ʌ p a sʲ e nʲ i j
опасению	ʌ p a sʲ e nʲ i ju
опасения	ʌ p a sʲ e nʲ i ja
опасениях	ʌ p a sʲ e nʲ i ja x
опасна	ʌ p ɑ s n a
опасная	ʌ p ɑ s n ʌ ja
опаснее	ʌ p ɑ sʲ nʲ i j ɪ
опаснейший	ʌ p ɑ sʲ nʲ i j ʃ y j
опасно	ʌ p ɑ s n ʌ
опасного	ʌ p ɑ s n ʌ v ʌ
опасное	ʌ p ɑ s n ʌ j ɪ
опасной	ʌ p ɑ s n ʌ j
опасном	ʌ p ɑ s n ʌ m
опасностей	ʌ p ɑ s n ʌ sʲ tʲ i j
опасности	ʌ p ɑ s n ʌ sʲ tʲ ɪ
опасностию	ʌ p ɑ s n ʌ sʲ tʲ i ju
опасность	ʌ p ɑ s n ʌ s tʲ
опасностью	ʌ p ɑ s n ʌ s tʲ j ju
опасностях	ʌ p ɑ s n ʌ sʲ tʲ ʌ x
опасную	ʌ p ɑ s n u ju
опасны	ʌ p ɑ s n y
опасные	ʌ p ɑ s n y j ɪ
опасный	ʌ p ɑ s n y j
опасным	ʌ p ɑ s n y m
опасными	ʌ p ɑ s n y mʲ ɪ
опасных	ʌ p ɑ s n y x
опахал	ʌ p a x ɑ ɭ
опахнул	ʌ p ɑ x n u ɭ
опеке	ʌ pʲ e kʲ i
опеки	ʌ pʲ e kʲ ɪ
опеку	ʌ pʲ e k u
опекун	ʌ pʲ i k u n
опекуна	ʌ pʲ i k u n ɑ
опекунапрофессора	ʌ pʲ i k u n a p r o fʲ i s s ʌ r a
опекуном	ʌ pʲ i k u n o m
опекунский	ʌ pʲ i k u n s kʲ i j
опененного	ʌ pʲ i nʲ e n n ʌ v ʌ
опененною	ʌ pʲ i nʲ e n n ʌ ju
опененные	ʌ pʲ i nʲ e n n y j ɪ
опенкин	ʌ pʲ e n kʲ i n
опенкина	ʌ pʲ e n kʲ i n a
опенкину	ʌ pʲ e n kʲ i n u
опенкины	ʌ pʲ e n kʲ i n y
опер	o pʲ i r
опера	ʌ pʲ e r a
операцией	ʌ pʲ i r ɑ ts y j i j
операции	ʌ pʲ i r ɑ ts y ɪ
операцию	ʌ pʲ i r ɑ ts y ju
опере	o pʲ i rʲ i
опередив	ʌ pʲ i rʲ i dʲ i f
опередил	ʌ pʲ i rʲ i dʲ i ɭ
опередила	ʌ pʲ i rʲ i dʲ i ɭ a
опереточный	ʌ pʲ i rʲ e t ʌ tʃʲ n y j
оперетту	ʌ pʲ i rʲ e t t u
оперировать	ʌ pʲ i rʲ i r ʌ v ʌ tʲ
оперлась	ʌ pʲ i r ɭ ɑ sʲ
оперлись	ʌ pʲ e r ɭʲ i sʲ
оперлось	ʌ pʲ e r ɭ ʌ sʲ
оперным	o pʲ i r n y m
оперся	ʌ pʲ e r sʲ ʌ
оперу	o pʲ i r u
опершегося	ʌ pʲ e r ʃ y v ʌ sʲ ʌ
опершись	ʌ pʲ i r ʃ y sʲ
опершися	ʌ pʲ e r ʃ y sʲ ʌ
оперы	o pʲ i r y
опечаленное	ʌ pʲ i tʃʲ ɑ ɭʲ i n n ʌ j ɪ
опечалилась	ʌ pʲ i tʃʲ ɑ ɭʲ i ɭ ʌ sʲ
опечалило	ʌ pʲ i tʃʲ ɑ ɭʲ i ɭ ʌ
опечалился	ʌ pʲ i tʃʲ ɑ ɭʲ i ɭ sʲ ʌ
опечалится	ʌ pʲ i tʃʲ ɑ ɭʲ i ts ʌ
опешив	ʌ pʲ e ʃ y f
опешил	ʌ pʲ e ʃ y ɭ
опешили	ʌ pʲ e ʃ y ɭʲ ɪ
опешит	ʌ pʲ i ʃ y t
опирается	ʌ pʲ i r ɑ j i ts ʌ
опирайся	ʌ pʲ i r ʌ j sʲ ʌ
опиралась	ʌ pʲ i r ɑ ɭ ʌ sʲ
опирались	ʌ pʲ i r ɑ ɭʲ i sʲ
опирался	ʌ pʲ i r ɑ ɭ sʲ ʌ
опираться	ʌ pʲ i r ɑ tʲ sʲ ʌ
опираюсь	ʌ pʲ i r ɑ ju sʲ
опираются	ʌ pʲ i r ɑ ju ts ʌ
опирающаяся	ʌ pʲ i r ɑ ju ɕ ʌ ja sʲ ʌ
опирающийся	ʌ pʲ i r ɑ ju ɕ i j sʲ ʌ
опираясь	ʌ pʲ i r ɑ ja sʲ
описав	ʌ pʲ i s ʌ f
описал	ʌ pʲ i s ʌ ɭ
описала	ʌ pʲ i s ʌ ɭ a
описали	ʌ pʲ i s ʌ ɭʲ ɪ
описан	ʌ pʲ i s ʌ n
описана	ʌ pʲ i s ʌ n a
описание	ʌ pʲ i s ɑ nʲ i j ɪ
описаний	ʌ pʲ i s ɑ nʲ i j
описанию	ʌ pʲ i s ɑ nʲ i ju
описания	ʌ pʲ i s ɑ nʲ i ja
описанного	ʌ pʲ i s ʌ n n ʌ v ʌ
описанные	ʌ pʲ i s ʌ n n y j ɪ
описанных	ʌ pʲ i s ʌ n n y x
описано	ʌ pʲ i s ʌ n ʌ
описанья	ʌ pʲ i s ʌ n j ja
описать	ʌ pʲ i s ɑ tʲ
описей	o pʲ i sʲ i j
описи	o pʲ i sʲ ɪ
описывавшие	ʌ pʲ i s y v ʌ f ʃ y j ɪ
описывает	ʌ pʲ i s y v ʌ j i t
описываете	ʌ pʲ i s y v ʌ j i tʲ i
описывается	ʌ pʲ i s y v ʌ j i ts ʌ
описываешь	ʌ pʲ i s y v ʌ j i ʃ
описывать	ʌ pʲ i s y v ʌ tʲ
описывают	ʌ pʲ i s y v ʌ ju t
описывая	ʌ pʲ i s y v ʌ ja
опиум	o pʲ i u m
опишет	ʌ pʲ i ʃ y t
опиши	ʌ pʲ i ʃ i
опишите	ʌ pʲ i ʃ y tʲ i
опишу	ʌ pʲ i ʃ u
опишут	ʌ pʲ i ʃ u t
оплакали	ʌ p ɭ ɑ k ʌ ɭʲ ɪ
оплакивала	ʌ p ɭ ɑ kʲ i v ʌ ɭ a
оплакивать	ʌ p ɭ ɑ kʲ i v ʌ tʲ
оплакивают	ʌ p ɭ ɑ kʲ i v ʌ ju t
оплатить	ʌ p ɭ a tʲ i tʲ
оплел	ʌ p ɭʲ e ɭ
оплетает	ʌ p ɭʲ i t ɑ j i t
оплеуха	ʌ p ɭʲ i u x a
оплеухи	ʌ p ɭʲ i u x ɪ
оплешивеем	ʌ p ɭʲ i ʃ y vʲ i j i m
оплешивел	ʌ p ɭʲ i ʃ y vʲ i ɭ
оплодотворяющую	ʌ p ɭ ʌ d ʌ t v ʌ rʲ ɑ ju ɕ u ju
оплот	ʌ p ɭ o t
оплошает	ʌ p ɭ ʌ ʃ ɑ j i t
оплошал	ʌ p ɭ ʌ ʃ ɑ ɭ
оплывшие	ʌ p ɭ y f ʃ y j ɪ
опоганить	ʌ p ʌ ɡ ɑ nʲ i tʲ
оподельдоки	ʌ p ʌ dʲ e ɭ d ʌ kʲ ɪ
оподельдоку	ʌ p ʌ dʲ e ɭ d ʌ k u
опоздает	ʌ p ʌ z d ɑ j i t
опоздаешь	ʌ p ʌ z d ɑ j i ʃ
опоздай	ʌ p ʌ z d ɑ j
опоздал	ʌ p ʌ z d ɑ ɭ
опоздала	ʌ p ʌ z d ɑ ɭ a
опоздали	ʌ p ʌ z d ɑ ɭʲ ɪ
опоздание	ʌ p ʌ z d ɑ nʲ i j ɪ
опозданий	ʌ p ʌ z d ɑ nʲ i j
опоздать	ʌ p ʌ z d ɑ tʲ
опоздаю	ʌ p ʌ z d ɑ ju
опозоренную	ʌ p ʌ z o rʲ i n n u ju
опозорены	ʌ p ʌ z o rʲ i n y
опозорить	ʌ p ʌ z o rʲ i tʲ
ополчается	ʌ p ʌ ɭ tʃʲ ɑ j i ts ʌ
ополчение	ʌ p ʌ ɭ tʃʲ e nʲ i j ɪ
ополченцев	ʌ p ʌ ɭ tʃʲ e n ts y f
ополчил	ʌ p o ɭ tʃʲ i ɭ
опомнившись	ʌ p o m nʲ i f ʃ y sʲ
опомнилась	ʌ p o m nʲ i ɭ ʌ sʲ
опомнился	ʌ p o m nʲ i ɭ sʲ ʌ
опомнись	ʌ p o m nʲ i sʲ
опомнитесь	ʌ p o m nʲ i tʲ i sʲ
опомнится	ʌ p o m nʲ i ts ʌ
опомниться	ʌ p o m nʲ i tʲ sʲ ʌ
опомнюсь	ʌ p o m nʲ u" sʲ
опор	ʌ p o r
опорки	ʌ p o r kʲ ɪ
опорожнил	ʌ p ʌ r ʌ ʒ nʲ i ɭ
опорой	ʌ p o r ʌ j
опорочен	ʌ p ʌ r o tʃʲ i n
опору	ʌ p o r u
опоры	ʌ p o r y
опосредствованное	ʌ p ʌ s rʲ i d s t v o v ʌ n n ʌ j ɪ
опостылел	ʌ p ʌ s t y ɭʲ i ɭ
опостылели	ʌ p ʌ s t y ɭʲ i ɭʲ ɪ
опочивальне	ʌ p ʌ tʃʲ i v ɑ ɭ nʲ i
опочил	ʌ p ʌ tʃʲ i ɭ
опошлен	ʌ p o ʃ ɭʲ i n
опошленные	ʌ p ʌ ʃ ɭʲ e n n y j ɪ
опошленный	ʌ p ʌ ʃ ɭʲ e n n y j
опошлил	ʌ p o ʃ ɭʲ i ɭ
опошлила	ʌ p o ʃ ɭʲ i ɭ a
опошлились	ʌ p ʌ ʃ ɭʲ i ɭʲ i sʲ
опошлился	ʌ p o ʃ ɭʲ i ɭ sʲ ʌ
опошлять	ʌ p ʌ ʃ ɭʲ ɑ tʲ
опоэтизировал	ʌ p ʌ ɛ tʲ i ʑ i r ʌ v ʌ ɭ
опою	ʌ p o ju
опоясался	ʌ p ʌ ja s ʌ ɭ sʲ ʌ
опоясанный	ʌ p ʌ ja s ʌ n n y j
опоясывалась	ʌ p ʌ ja s y v ʌ ɭ ʌ sʲ
оппозиции	ʌ p p ʌ ʑ i ts y ɪ
оппозиционному	ʌ p p ʌ ʑ i ts y ʌ n n ʌ m u
оппозиционную	ʌ p p ʌ ʑ i ts y o n n u ju
оппозицию	ʌ p p ʌ ʑ i ts y ju
оппозиция	ʌ p p ʌ ʑ i ts y ja
оппортунизм	ʌ p p ʌ r t u nʲ i z m
оппортунизме	ʌ p p ʌ r t u nʲ i z mʲ i
оправдал	ʌ p r a v d ɑ ɭ
оправдали	ʌ p r a v d ɑ ɭʲ ɪ
оправдалось	ʌ p r a v d ɑ ɭ ʌ sʲ
оправдание	ʌ p r a v d ɑ nʲ i j ɪ
оправданием	ʌ p r a v d ɑ nʲ i j i m
оправдании	ʌ p r a v d ɑ nʲ i ɪ
оправданий	ʌ p r a v d ɑ nʲ i j
оправдания	ʌ p r a v d ɑ nʲ i ja
оправданиями	ʌ p r a v d ɑ nʲ i ja mʲ ɪ
оправданиях	ʌ p r a v d ɑ nʲ i ja x
оправданных	ʌ p r ɑ v d ʌ n n y x
оправдательной	ʌ p r a v d ɑ tʲ i ɭ n ʌ j
оправдательную	ʌ p r a v d ɑ tʲ i ɭ n u ju
оправдательные	ʌ p r a v d ɑ tʲ i ɭ n y j ɪ
оправдательных	ʌ p r a v d ɑ tʲ i ɭ n y x
оправдать	ʌ p r a v d ɑ tʲ
оправдаться	ʌ p r a v d ɑ tʲ sʲ ʌ
оправдываемся	ʌ p r a v d y v ʌ j i m sʲ ʌ
оправдывает	ʌ p r ɑ v d y v ʌ j i t
оправдывается	ʌ p r ɑ v d y v ʌ j i ts ʌ
оправдываешьсяоправдываешься	ʌ p r ʌ v d y v ʌ j i ʃ sʲ ʌ ʌ p r ɑ v d y v ʌ j i ʃ sʲ ʌ
оправдывай	ʌ p r ɑ v d y v ʌ j
оправдывайся	ʌ p r a v d y v ʌ j sʲ ʌ
оправдывайтесь	ʌ p r ɑ v d y v ʌ j tʲ i sʲ
оправдывал	ʌ p r ɑ v d y v ʌ ɭ
оправдывалась	ʌ p r ɑ v d y v ʌ ɭ ʌ sʲ
оправдывали	ʌ p r ɑ v d y v ʌ ɭʲ ɪ
оправдывался	ʌ p r ɑ v d y v ʌ ɭ sʲ ʌ
